"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","11","","","-0.07003367003367","0.0407407407407407","","","","-0.0983164983164983","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","7","-0.0886339937434828","","","-0.10844629822732","","","","0.0599582898852972","","","","",""
"ComplexClass","6","0.0545454545454545","","-0.316969696969697","","","","","-0.686060606060606","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","30","-0.123771580345286","","-0.00929614873837981","-0.142496679946879","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
