"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.80785232305945,0.45296927729889,-8.40642514601901,4.22696889950757e-17
"sloc",0.00723636083318615,0.00399724025150191,1.81033922853828,0.0702431971844368
"AntiSingleton",-18.0064704326093,10318.4851085444,-0.00174506918827636,0.998607636943828
"ClassDataShouldBePrivate",-17.7672394698791,10342.4769165876,-0.00171789017400498,0.998629322627185
"ComplexClass",-19.3689519614738,25624.2060443696,-0.000755884960023171,0.999396891118087
"LongParameterList",-18.2112453829816,4480.05505653708,-0.00406496017418549,0.996756639968901
"AntiSingleton:ClassDataShouldBePrivate",18.7803299865268,37685.0926988904,0.000498349045777449,0.999602375006942
"AntiSingleton:ComplexClass",18.1511993849984,37678.5185621467,0.000481738669079037,0.999615628168467
"AntiSingleton:LongParameterList",18.026570883717,18355.6070741646,0.000982074349863873,0.99921641816464
"ComplexClass:LongParameterList",38.2288936907608,26012.897345764,0.00146961306088367,0.998827418850449
