"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","0.53441503713625","0.285415477874309","","","","0.0701882298176712","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","7","0.833935414088552","","","0.620468065424969","","","","0.415528686902397","","","","",""
"ComplexClass","6","0.850946022145356","","0.385796905388486","","","","","0.911539469614435","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","23","0.648062742115476","","0.764073329811763","0.417397603057957","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
