"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.43015375931098,0.601188646924516,-5.70561965342912,1.15920590653066e-08
"sloc",-0.000261338695960397,0.00329514742818132,-0.0793101679534373,0.936785918922073
"AntiSingleton",-0.00958243559741062,29588.2739998864,-3.23859228742015e-07,0.999999741597722
"ClassDataShouldBePrivate",-17.8559669958342,25624.2012891594,-0.000696839944173729,0.999444002212191
"ComplexClass",-17.8209488152275,18118.1554569021,-0.00098359619761617,0.999215203906401
"LongParameterList",-17.8594886312239,5878.49006951886,-0.00303810815702979,0.997575944136504
"AntiSingleton:ComplexClass",20.6554694541081,50169.0432336822,0.000411717428173726,0.999671497029928
"AntiSingleton:LongParameterList",17.8669803571768,30166.5809101085,0.000592277275652068,0.999527431133672
"ClassDataShouldBePrivate:ComplexClass",-2.7556834489366,36238.0929973627,-7.60438318080687e-05,0.999939325800715
"ComplexClass:LongParameterList",38.4698335871615,19047.944852287,0.00201963171804032,0.998388568129149
