Class,same,uchangedLines,deleted,added,changed,all, differenceSection
log4j-1.2-api\src\main\java\org\apache\log4j\config\package-info.java,20,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertySetter.java,88,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertySetterException.java,65,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\NullEnumeration.java,47,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\package-info.java,20,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\ErrorHandler.java,98,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\Filter.java,86,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\HierarchyEventListener.java,33,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LoggerFactory.java,32,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LoggerRepository.java,109,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LoggingEvent.java,23,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\package-info.java,20,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\spi\RepositorySelector.java,43,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\xml\DOMConfigurator.java,80,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\xml\package-info.java,20,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Appender.java,143,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\BasicConfigurator.java,45,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Category.java,474,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Layout.java,87,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Level.java,264,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Logger.java,66,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\LogManager.java,223,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\MDC.java,77,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\NDC.java,207,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\package-info.java,20,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\PatternLayout.java,40,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\Priority.java,239,0,0,0,0,0,0
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,126,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\osgi\equinox\EquinoxLoadApi12BundleTest.java,36,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\osgi\felix\FelixLoadApi12BundleTest.java,36,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\util\SerializationTestHelper.java,154,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\BasicConfigurationFactory.java,69,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\CallerInformationTest.java,65,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\CategoryTest.java,205,2,1,4,1,7,4
log4j-1.2-api\src\test\java\org\apache\log4j\LevelTest.java,284,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\LoggerTest.java,525,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\LoggingTest.java,43,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\PriorityTest.java,226,0,0,0,0,0,0
log4j-1.2-api\src\test\java\org\apache\log4j\VelocityTest.java,62,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\AbstractMessageFactory.java,58,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\BasicThreadInformation.java,105,1,0,2,2,6,3
log4j-api\src\main\java\org\apache\logging\log4j\message\ExtendedThreadInformation.java,164,1,0,1,1,3,2
log4j-api\src\main\java\org\apache\logging\log4j\message\FormattedMessage.java,206,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\FormattedMessageFactory.java,40,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\LocalizedMessage.java,282,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\LocalizedMessageFactory.java,80,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\LoggerNameAwareMessage.java,34,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\MapMessage.java,316,0,0,1,4,9,4
log4j-api\src\main\java\org\apache\logging\log4j\message\Message.java,75,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\MessageFactory.java,57,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\MessageFormatMessage.java,168,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\MessageFormatMessageFactory.java,39,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\MultiformatMessage.java,42,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\ObjectMessage.java,123,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\package-info.java,21,0,0,0,0,0,0
log4j-api\src\main\java\org\apache\logging\log4j\message\ParameterizedMessage.java,548,0,0,0,0,0,0
