class,SLOC
org.apache.lucene.analysis.TestReusableStringReader,34
org.apache.lucene.util.LuceneTestCase,1621
org.apache.lucene.analysis.ReusableStringReader,35
org.apache.lucene.search.ComplexExplanation,25
org.apache.lucene.search.Explanation,67
org.apache.lucene.codecs.compressing.TestFastDecompressionMode,14
org.apache.lucene.codecs.compressing.AbstractTestLZ4CompressionMode,68
org.apache.lucene.codecs.compressing.CompressionMode,168
org.apache.lucene.queryparser.surround.query.OrQuery,33
org.apache.lucene.search.Query,47
org.apache.lucene.search.BooleanClause,47
org.apache.lucene.queryparser.surround.query.ComposedQuery,78
org.apache.lucene.queryparser.surround.query.SpanNearClauseFactory,50
org.apache.lucene.queryparser.surround.query.BasicQueryFactory,47
org.apache.lucene.queryparser.surround.query.SrndBooleanQuery,20
org.apache.lucene.queryparser.surround.query.SrndQuery,64
org.apache.lucene.util.TestRuleMarkFailure,57
org.apache.lucene.sandbox.queries.regex.TestRegexQuery,75
org.apache.lucene.document.Field,524
org.apache.lucene.search.spans.SpanMultiTermQueryWrapper,135
org.apache.lucene.store.Directory,52
org.apache.lucene.index.IndexReader,181
org.apache.lucene.index.MultiFields,148
org.apache.lucene.index.RandomIndexWriter,286
org.apache.lucene.index.Term,72
org.apache.lucene.index.Terms,79
org.apache.lucene.document.Document,108
org.apache.lucene.search.IndexSearcher,415
org.apache.lucene.index.TermsEnum,94
org.apache.lucene.search.spans.SpanNearQuery,117
org.apache.lucene.search.spans.SpanQuery,8
org.apache.lucene.util.AttributeSource,249
org.apache.lucene.sandbox.queries.regex.RegexQuery,70
org.apache.lucene.search.TopDocs,169
org.apache.lucene.sandbox.queries.regex.JakartaRegexpCapabilities,95
org.apache.lucene.sandbox.queries.regex.JavaUtilRegexCapabilities,60
org.apache.lucene.analysis.core.KeywordTokenizer,55
org.apache.lucene.analysis.Tokenizer,53
org.apache.lucene.util.AttributeFactory,116
org.apache.lucene.index.TestExceedMaxTermLength,60
org.apache.lucene.analysis.MockAnalyzer,81
org.apache.lucene.document.FieldType,188
org.apache.lucene.util.TestUtil,811
org.apache.lucene.index.IndexWriter,2556
org.tartarus.snowball.ext.FrenchStemmer,1175
org.tartarus.snowball.Among,27
org.tartarus.snowball.SnowballProgram,332
org.apache.lucene.codecs.lucene42.Lucene42RWDocValuesFormat,10
org.apache.lucene.codecs.DocValuesConsumer,613
org.apache.lucene.index.SegmentWriteState,38
org.apache.lucene.codecs.lucene42.Lucene42DocValuesFormat,23
org.apache.lucene.codecs.lucene42.Lucene42DocValuesConsumer,265
org.apache.lucene.benchmark.byTask.feeds.SingleDocSource,40
org.apache.lucene.benchmark.byTask.feeds.ContentSource,3
org.apache.lucene.benchmark.byTask.feeds.DocData,59
org.apache.lucene.benchmark.byTask.feeds.NoMoreDataException,2
org.apache.lucene.search.Filter,3
org.apache.lucene.index.AtomicReader,155
org.apache.lucene.index.AtomicReaderContext,32
org.apache.lucene.search.DocIdSet,31
org.apache.lucene.analysis.compound.hyphenation.HyphenationTree,253
org.apache.lucene.analysis.compound.hyphenation.TernaryTree,399
org.apache.lucene.analysis.compound.hyphenation.ByteVector,65
org.apache.lucene.analysis.compound.hyphenation.Hyphenation,12
org.apache.lucene.analysis.compound.hyphenation.PatternParser,267
org.apache.lucene.analysis.compound.hyphenation.CharVector,74
org.apache.lucene.queryparser.flexible.standard.config.FuzzyConfig,17
org.apache.lucene.search.FuzzyQuery,118
org.apache.lucene.analysis.icu.segmentation.ICUTokenizerFactory,67
org.apache.lucene.analysis.util.TokenizerFactory,23
org.apache.lucene.util.IOUtils,173
org.apache.lucene.analysis.icu.segmentation.ICUTokenizerConfig,6
org.apache.lucene.analysis.icu.segmentation.ICUTokenizer,100
org.apache.lucene.analysis.icu.segmentation.DefaultICUTokenizerConfig,59
org.apache.lucene.facet.taxonomy.TestTaxonomyFacetAssociations,150
org.apache.lucene.facet.DrillDownQuery,179
org.apache.lucene.facet.FacetTestCase,154
org.apache.lucene.facet.Facets,7
org.apache.lucene.facet.FacetsCollector,158
org.apache.lucene.facet.FacetsConfig,340
org.apache.lucene.facet.taxonomy.FloatAssociationFacetField,15
org.apache.lucene.facet.taxonomy.IntAssociationFacetField,23
org.apache.lucene.facet.taxonomy.TaxonomyFacetSumFloatAssociations,38
