Class,same,uchangedLines,deleted,added,changed,all, differenceSection
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingBooleanRecommender.java,102,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingBooleanRecommenderBuilder.java,32,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingBooleanRecommenderEvaluatorRunner.java,59,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingDataModel.java,99,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingDataModelBuilder.java,33,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingRecommender.java,101,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingRecommenderBuilder.java,32,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\bookcrossing\BookCrossingRecommenderEvaluatorRunner.java,54,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\EmailUtility.java,104,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\FromEmailToDictionaryMapper.java,61,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\MailToDictionaryReducer.java,43,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\MailToPrefsDriver.java,274,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\MailToRecMapper.java,101,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\MailToRecReducer.java,53,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\email\MsgIdToDictionaryMapper.java,49,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\DataModelFactorizablePreferences.java,107,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\FactorizablePreferences.java,44,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\KDDCupFactorizablePreferences.java,123,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\ParallelArraysSGDFactorizer.java,265,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\svd\Track1SVDRunner.java,141,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\EstimateConverter.java,43,0,0,0,0,0,0
examples\src\main\java\org\apache\mahout\cf\taste\example\kddcup\track1\Track1Callable.java,67,0,0,0,0,0,0
