"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","17","","","34.7626757194213","10.9305290973565","","","","3.49715808037434","","6.63143551419579","","0",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","11","34.7626757194218","","","1.10865943145756","","","","0","","4.56873491080886","","0",""
"ComplexClass","69","10.9305290973565","","1.10865943145756","","","","","5.76317257013934","","2.99423040895863","","11.1465925198323",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","50","3.49715808037434","","0","5.76317257013933","","","","","","7.29535192865559","","15.8031993353124",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","40","6.63143551419554","","4.5687349108089","2.99423040895863","","","","7.29535192865559","","","","Inf",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","2","0","","0","11.1465925198334","","","","15.8031993353143","","Inf","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
