"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","17","","","8.71372999418918e-44","0.0221458725781745","","","","0.331236718246399","","0.0072231735094192","","0.775687761322912",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","11","0.0211611287378581","","","0.517621039426572","","","","0.265215692153508","","0.524802716977734","","0.820804111544272",""
"ComplexClass","69","0.627799527568002","","0.00251474893950548","","","","","0.230017944979864","","0.137656978097165","","0.548540256840099",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","50","0.688677803071881","","0.614416716377562","0.120189459672452","","","","","","0.0073450430606105","","0.000200131296389771",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","40","0.456299153248383","","2.1956934473707e-05","1.65257463414869e-06","","","","9.99544053297468e-05","","","","2.1956934473707e-05",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","2","0.651844135511163","","0.931460606924782","0.354834572599421","","","","1.02461340466645e-05","","0.00017406143464627","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
