class,SLOC
org.apache.manifoldcf.authorityservice.ServletListener,19
org.apache.manifoldcf.authorities.system.ManifoldCF,212
org.apache.manifoldcf.core.interfaces.ManifoldCFException,46
org.apache.manifoldcf.core.interfaces.ThreadContextFactory,11
org.apache.manifoldcf.crawler.interfaces.BucketDescription,19
org.apache.manifoldcf.authorities.system.Logging,15
org.apache.manifoldcf.core.system.Logging,83
org.apache.manifoldcf.agents.common.XMLStringContext,17
org.apache.manifoldcf.agents.common.XMLContext,126
org.apache.manifoldcf.agents.common.XMLStream,124
org.apache.manifoldcf.crawler.connectors.webcrawler.tests.MockSessionWebService,214
org.apache.manifoldcf.agents.interfaces.TransformationConnectorPoolFactory,19
org.apache.manifoldcf.agents.system.ManifoldCF,152
org.apache.manifoldcf.agents.transformationconnectorpool.TransformationConnectorPool,97
org.apache.manifoldcf.crawler.connectors.webcrawler.FindPreferredRedirectionHandler,46
org.apache.manifoldcf.crawler.system.Logging,20
org.apache.manifoldcf.crawler.connectors.webcrawler.FindHandler,64
org.apache.manifoldcf.crawler.connectors.cmis.CmisRepositoryConnectorUtils,92
org.apache.manifoldcf.authorities.authority.AuthorityConnection,98
org.apache.manifoldcf.core.interfaces.ConfigParams,141
org.apache.manifoldcf.connectorcommon.jsongen.JSONStringReader,71
org.apache.manifoldcf.connectorcommon.jsongen.JSONReader,31
org.apache.manifoldcf.crawler.repository.RepositoryHistoryManager,416
org.apache.manifoldcf.core.database.BaseTable,214
org.apache.manifoldcf.crawler.interfaces.FilterCriteria,38
org.apache.manifoldcf.crawler.interfaces.RegExpCriteria,19
org.apache.manifoldcf.crawler.interfaces.SortOrder,176
org.apache.manifoldcf.core.interfaces.IndexDescription,35
org.apache.manifoldcf.core.interfaces.LockManagerFactory,82
org.apache.manifoldcf.core.interfaces.ColumnDescription,45
org.apache.manifoldcf.core.interfaces.UnitaryClause,34
org.apache.manifoldcf.core.interfaces.IDFactory,56
org.apache.manifoldcf.core.interfaces.ManifoldCFConfiguration,128
org.apache.manifoldcf.crawler.connectors.wiki.WikiConfig,23
org.apache.manifoldcf.core.interfaces.PersistentDatabaseObject,11
org.apache.manifoldcf.meridio.MeridioDataSetException,15
org.apache.manifoldcf.authorities.RegisterMapper,37
org.apache.manifoldcf.authorities.BaseMappersInitializationCommand,11
com.opentext.api.LLHTTPRedirectionException,3
org.apache.manifoldcf.crawler.system.DocumentDeleteStufferThread,134
org.apache.manifoldcf.crawler.system.DocumentDeleteQueue,52
org.apache.manifoldcf.crawler.system.DocDeleteResetManager,23
org.apache.manifoldcf.crawler.interfaces.DocumentDescription,52
org.apache.manifoldcf.crawler.system.DeleteQueuedDocument,22
org.apache.manifoldcf.crawler.system.DocumentDeleteSet,23
org.apache.manifoldcf.crawler.system.ResetManager,50
org.apache.manifoldcf.crawler.interfaces.RepositoryConnectionManagerFactory,23
org.apache.manifoldcf.crawler.interfaces.JobManagerFactory,23
