class,SLOC
org.apache.marmotta.ldclient.provider.html.mapping.CssUriAttrWhitelistQueryParamsMapper,27
org.apache.marmotta.ldclient.provider.html.mapping.CssUriAttrMapper,23
org.apache.marmotta.platform.core.jaxrs.exceptionmappers.URISyntaxExceptionMapper,6
org.apache.marmotta.platform.core.jaxrs.exceptionmappers.ErrorResponse,73
org.rometools.feed.module.itunes.io.ITunesGenerator,88
org.rometools.feed.module.itunes.AbstractITunesObject,76
org.rometools.feed.module.itunes.EntryInformationImpl,38
org.rometools.feed.module.itunes.FeedInformationImpl,75
org.rometools.feed.module.itunes.types.Category,36
org.rometools.feed.module.itunes.types.Subcategory,22
org.rometools.feed.module.itunes.types.Duration,63
org.apache.marmotta.ldpath.model.tests.functions.text.StringContainsTest,14
org.apache.marmotta.ldpath.model.tests.functions.text.AbstractBinaryStringTest,21
com.sun.syndication.io.impl.RSS090Parser,174
com.sun.syndication.feed.WireFeed,67
com.sun.syndication.feed.rss.Channel,215
com.sun.syndication.feed.rss.Image,67
com.sun.syndication.feed.rss.Item,137
com.sun.syndication.feed.rss.TextInput,53
com.sun.syndication.io.FeedException,8
com.sun.syndication.io.impl.BaseWireFeedParser,58
org.apache.marmotta.ldpath.parser.StringTestingBackend,61
org.apache.marmotta.ldpath.model.backend.AbstractBackend,76
org.apache.marmotta.ldclient.provider.youtube.mapping.YoutubeLongitudeMapper,17
org.apache.marmotta.ldclient.provider.xml.mapping.XPathLiteralMapper,25
org.apache.marmotta.platform.security.logging.SecurityLoggingModule,22
org.apache.marmotta.platform.core.logging.BaseLoggingModule,40
org.apache.marmotta.kiwi.infinispan.embedded.InfinispanEmbeddedCacheManagerFactory,8
org.apache.marmotta.kiwi.config.KiWiConfiguration,201
org.apache.marmotta.kiwi.infinispan.embedded.InfinispanEmbeddedCacheManager,313
org.apache.marmotta.ldpath.model.selectors.TestingSelector,50
org.apache.marmotta.ldpath.api.tests.NodeTest,12
org.rometools.feed.module.base.types.DateTimeRange,40
org.apache.marmotta.kiwi.sparql.persistence.OPTypes,3
org.apache.marmotta.platform.ldpath.webservices.LDPathWebService,194
org.apache.marmotta.commons.sesame.repository.ResourceUtils,671
org.apache.marmotta.commons.util.JSONUtils,81
org.apache.marmotta.ldpath.api.functions.SelectorFunction,7
org.apache.marmotta.ldpath.backend.sesame.SesameConnectionBackend,59
org.apache.marmotta.ldpath.exception.LDPathParseException,14
org.apache.marmotta.commons.sesame.repository.ResultUtils,65
org.apache.marmotta.commons.sesame.repository.ExceptionUtils,14
org.apache.marmotta.kiwi.infinispan.remote.CustomJBossMarshaller,9
org.apache.marmotta.kiwi.infinispan.remote.CustomClassExternalizerFactory,26
