class,SLOC
org.apache.maven.plugin.internal.PluginDependencyResolutionListener,96
org.apache.maven.artifact.versioning.VersionRange,430
org.apache.maven.repository.MetadataResolutionResult,208
org.apache.maven.artifact.resolver.ArtifactResolutionException,32
org.apache.maven.artifact.resolver.CyclicDependencyException,15
org.apache.maven.artifact.versioning.OverConstrainedVersionException,15
org.apache.maven.repository.MetadataGraph,39
org.apache.maven.artifact.metadata.TestMetadataSource,58
org.apache.maven.artifact.metadata.ResolutionGroup,14
org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,8
org.apache.maven.artifact.installer.DefaultArtifactInstaller,67
org.apache.maven.RepositoryUtils,240
org.apache.maven.artifact.repository.LegacyLocalRepositoryManager,291
org.apache.maven.artifact.repository.metadata.ArtifactRepositoryMetadata,73
org.apache.maven.artifact.repository.metadata.MetadataBridge,100
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,56
org.apache.maven.project.artifact.ProjectArtifactMetadata,73
org.apache.maven.artifact.installer.ArtifactInstallationException,17
org.apache.maven.execution.MavenSession,269
org.apache.maven.repository.legacy.resolver.conflict.NewestConflictResolver,17
org.apache.maven.artifact.resolver.ResolutionNode,172
org.apache.maven.repository.legacy.resolver.conflict.ConflictResolverNotFoundException,9
org.apache.maven.plugin.PluginNotFoundException,22
org.apache.maven.artifact.resolver.AbstractArtifactResolutionException,258
org.apache.maven.artifact.resolver.ArtifactNotFoundException,43
org.apache.maven.model.interpolation.PathTranslatingPostProcessor,28
org.apache.maven.model.MailingListTest,22
org.apache.maven.plugin.lifecycle.LifecycleXpp3ReaderTest,8
org.apache.maven.repository.metadata.MetadataGraphEdge,119
org.apache.maven.artifact.ArtifactScopeEnum,74
org.apache.maven.repository.metadata.MetadataGraphVertex,149
org.apache.maven.repository.metadata.ArtifactMetadata,222
org.apache.maven.DefaultArtifactFilterManager,85
org.apache.maven.artifact.resolver.filter.ExclusionSetFilter,48
org.apache.maven.settings.validation.DefaultSettingsValidator,144
org.apache.maven.project.inheritance.t03.ProjectInheritanceTest,15
org.apache.maven.project.MavenProject,1539
org.apache.maven.project.inheritance.AbstractProjectInheritanceTestCase,21
org.apache.maven.project.AbstractMavenProjectTestCase,106
org.apache.maven.model.building.ModelBuildingException,54
org.apache.maven.repository.internal.MavenRepositorySystemSession,41
org.apache.maven.project.DefaultProjectBuildingRequest,237
org.apache.maven.project.LegacyLocalRepositoryManager,21
org.apache.maven.lifecycle.internal.ReactorContext,31
org.apache.maven.lifecycle.internal.ProjectIndex,25
org.apache.maven.lifecycle.internal.ReactorBuildStatus,36
org.apache.maven.model.building.FilterModelBuildingRequest,144
org.apache.maven.model.ReportPluginTest,22
org.apache.maven.lifecycle.internal.ExecutionPlanItem,51
org.apache.maven.lifecycle.Schedule,99
org.apache.maven.plugin.MojoExecution,145
org.apache.maven.plugin.descriptor.MojoDescriptor,336
org.apache.maven.plugin.descriptor.PluginDescriptor,287
org.apache.maven.lifecycle.LifecycleExecutionException,69
org.apache.maven.settings.io.DefaultSettingsWriter,64
org.apache.maven.configuration.DefaultBeanConfigurationRequest,125
org.apache.maven.project.TestProjectBuilder,35
org.apache.maven.project.DefaultProjectBuilder,460
org.apache.maven.project.ProjectBuildingException,84
org.apache.maven.project.ProjectClasspathTest,93
org.apache.maven.project.DefaultProjectBuildingResult,50
org.apache.maven.repository.internal.MavenMetadata,97
org.apache.maven.profiles.DefaultProfileManager,139
org.apache.maven.model.profile.DefaultProfileActivationContext,108
org.apache.maven.profiles.activation.ProfileActivationException,13
org.apache.maven.plugin.internal.WagonExcluder,63
org.apache.maven.configuration.BasedirBeanConfigurationPathTranslator,28
org.apache.maven.artifact.repository.ArtifactRepositoryPolicy,160
org.apache.maven.execution.BuildSummary,22
org.apache.maven.repository.UserLocalArtifactRepository,37
org.apache.maven.repository.LocalArtifactRepository,7
org.apache.maven.repository.metadata.MetadataResolution,30
org.apache.maven.profiles.manager.DefaultProfileManagerTest,109
org.apache.maven.repository.legacy.metadata.ArtifactMetadataRetrievalException,32
org.apache.maven.project.interpolation.AbstractStringBasedModelInterpolator,259
org.apache.maven.project.DefaultProjectBuilderConfiguration,61
org.apache.maven.project.interpolation.ModelInterpolationException,33
org.apache.maven.project.interpolation.BuildTimestampValueSource,25
