ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.maven.AbstractCoreMavenComponentTestCase, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,maven-core\src\test\java\org\apache\maven\AbstractCoreMavenComponentTestCase.java,0,0,0,0
org.apache.maven.AbstractMavenLifecycleParticipant, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,maven-core\src\main\java\org\apache\maven\AbstractMavenLifecycleParticipant.java,0,0,0,0
org.apache.maven.App, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,maven-embedder\src\test\embedder-test-project\src\main\java\org\apache\maven\App.java,0,0,0,0
org.apache.maven.AppTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,maven-embedder\src\test\embedder-test-project\src\test\java\org\apache\maven\AppTest.java,0,0,0,0
org.apache.maven.ArtifactFilterManager, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,maven-core\src\main\java\org\apache\maven\ArtifactFilterManager.java,0,0,0,0
org.apache.maven.ArtifactFilterManagerDelegate, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,maven-core\src\main\java\org\apache\maven\ArtifactFilterManagerDelegate.java,0,0,0,0
org.apache.maven.BuildAbort, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,maven-core\src\main\java\org\apache\maven\BuildAbort.java,0,0,0,0
org.apache.maven.BuildFailureException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,maven-core\src\main\java\org\apache\maven\BuildFailureException.java,0,0,0,0
org.apache.maven.DefaultArtifactFilterManager, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,maven-core\src\main\java\org\apache\maven\DefaultArtifactFilterManager.java,0,0,0,0
org.apache.maven.DefaultProjectDependenciesResolver, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,maven-core\src\main\java\org\apache\maven\DefaultProjectDependenciesResolver.java,0,0,0,0
