"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",1,0.00164473684210526,0.0405553552826906,0.00164473684210526,0,0,0,0,1,24.5967812415864,606.001647446458,6.76443407461248e-48,0
"ComplexClass",44,0.0723684210526316,0.259310292503964,0.0672418277984913,0,0,0,0,1,3.30093865477367,11.896196002579,3.28795082824501e-43,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",23,0.0378289473684211,0.190939471379508,0.0364578817306859,0,0,0,0,1,4.84500762104787,24.4740988480119,4.64748158738414e-45,4.85167461761193e-14
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",4,0.00657894736842105,0.0809100239636772,0.00654643197780283,0,0,0,0,1,12.2068268815674,150.006622516556,2.39115593198316e-47,4.68514116391816e-14
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",72,0.118421052631579,0.352617148936486,0.124338853724096,0,0,0,0,2,3.01515617235068,11.9065784329173,1.80219650082943e-41,0
"LOC",29132,47.9144736842105,51.3793840769283,2639.84110812451,4,18,31,58,618,3.79784614114594,30.5274411096711,2.18937362965903e-32,0
"all",290,0.476973684210526,4.7949172759284,22.9912316829966,0,0,0,0,84,14.0113490119658,218.132408354806,5.54910051594416e-47,0
