"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","1","","","","0.47263982877522","","0.956876635099321","","0.527749365985012","","","","",""
"ComplexClass","25","","","0.81777523232372","","","0.0343111012964745","","0.000436073170311202","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","2","","","0.973613136139933","0.553445542911904","","","","0.371335225202182","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","18","","","0.848677124101506","0.0205763234419867","","0.00903563888698589","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
