class,SLOC
org.apache.metamodel.util.ResourceUtils,24
org.apache.metamodel.util.UrlResource,101
org.apache.metamodel.util.ResourceException,19
org.apache.metamodel.util.FileHelper,353
org.apache.metamodel.data.RowPublisherDataSetTest,54
org.apache.metamodel.query.SelectItem,310
org.apache.metamodel.schema.MutableColumn,131
org.apache.metamodel.data.RowPublisherDataSet,69
org.apache.metamodel.data.RowPublisherImpl,78
org.apache.metamodel.create.AbstractCreateTableBuilderTest,60
org.apache.metamodel.MetaModelException,14
org.apache.metamodel.schema.MutableSchema,60
org.apache.metamodel.schema.MutableTable,128
org.apache.metamodel.util.MutableRef,15
org.apache.metamodel.create.AbstractTableCreationBuilder,99
org.apache.metamodel.query.FilterClause,17
org.apache.metamodel.MetaModelHelper,532
org.apache.metamodel.query.FilterItem,345
org.apache.metamodel.query.AbstractQueryClause,108
org.apache.metamodel.query.Query,417
org.apache.metamodel.elasticsearch.ElasticSearchUtils,18
org.apache.metamodel.data.DefaultRow,102
org.apache.metamodel.query.parser.SelectItemParser,115
org.apache.metamodel.query.FromItem,220
org.apache.metamodel.query.FunctionType,73
org.apache.metamodel.query.parser.QueryParserException,15
org.apache.metamodel.query.FromClause,50
org.apache.metamodel.sugarcrm.SugarCrmXmlHelper,61
org.apache.metamodel.schema.MutableTableTest,51
org.apache.metamodel.schema.AbstractTable,247
org.apache.metamodel.schema.builder.ColumnNameAsKeysRowConverter,16
org.apache.metamodel.data.Document,22
org.apache.metamodel.util.CollectionUtils,248
org.apache.metamodel.jdbc.dialects.MysqlQueryRewriter,21
org.apache.metamodel.jdbc.JdbcDataContext,533
org.apache.metamodel.jdbc.dialects.LimitOffsetQueryRewriter,30
org.apache.metamodel.util.EqualsBuilder,60
org.apache.metamodel.mongodb.MongoDbDataContext,311
org.apache.metamodel.QueryPostprocessDataContext,418
org.apache.metamodel.data.InMemoryDataSet,51
org.apache.metamodel.data.SimpleDataSetHeader,83
org.apache.metamodel.query.OperatorType,32
org.apache.metamodel.schema.ColumnTypeImpl,178
org.apache.metamodel.util.SimpleTableDef,100
org.apache.metamodel.mongodb.MongoDbTableDef,9
org.apache.metamodel.mongodb.MongoDbUpdateCallback,65
org.apache.metamodel.mongodb.MongoDbDataSet,44
org.apache.metamodel.util.BaseObject,87
org.apache.metamodel.mongodb.MongoDBUtils,27
org.apache.metamodel.mongodb.SimpleWriteConcernAdvisor,17
org.apache.metamodel.mongodb.DefaultWriteConcernAdvisor,5
org.apache.metamodel.convert.ConvertedRowInsertionInterceptor,27
org.apache.metamodel.convert.Converters,153
org.apache.metamodel.schema.TableType,38
org.apache.metamodel.query.GroupByItemTest,16
org.apache.metamodel.query.GroupByClause,14
org.apache.metamodel.query.GroupByItem,45
org.apache.metamodel.query.DefaultCompiledQueryTest,48
org.apache.metamodel.query.DefaultCompiledQuery,117
org.apache.metamodel.query.QueryParameter,6
org.apache.metamodel.util.TimeComparator,128
org.apache.metamodel.util.DateUtils,70
org.apache.metamodel.query.builder.HavingBuilderImpl,51
org.apache.metamodel.query.builder.AbstractQueryFilterBuilder,333
org.apache.metamodel.jdbc.JdbcCompiledQueryLeaseFactory,34
org.apache.metamodel.jdbc.JdbcCompiledQueryLease,14
org.apache.metamodel.jdbc.JdbcUtils,160
org.apache.metamodel.excel.ExcelUpdateCallback,152
org.apache.metamodel.AbstractUpdateCallback,106
org.apache.metamodel.excel.ExcelConfiguration,39
org.apache.metamodel.excel.ExcelDataContext,154
org.apache.metamodel.excel.ExcelTableCreationBuilder,25
org.apache.metamodel.excel.ExcelInsertBuilder,118
org.apache.metamodel.excel.ExcelUtils,268
org.apache.metamodel.AbstractDataContext,374
org.apache.metamodel.excel.ExcelDropTableBuilder,14
org.apache.metamodel.excel.ExcelDeleteBuilder,30
org.apache.metamodel.QueryPostprocessDataContextTest,862
org.apache.metamodel.data.DataSetTableModel,64
org.apache.metamodel.query.JoinType,3
org.apache.metamodel.query.OrderByItem,82
org.apache.metamodel.MetaModelTestCase,104
org.apache.metamodel.MockDataContext,52
org.apache.metamodel.query.SelectClause,39
org.apache.metamodel.mongodb.MongoDbInsertionBuilder,23
org.apache.metamodel.insert.AbstractRowInsertionBuilder,67
org.apache.metamodel.jdbc.integrationtests.FirebirdTest,66
org.apache.metamodel.jdbc.integrationtests.AbstractJdbIntegrationTest,81
org.apache.metamodel.data.AbstractRowBuilder,95
org.apache.metamodel.util.InMemoryResource,100
org.apache.metamodel.util.ObjectComparator,60
org.apache.metamodel.util.NumberComparator,66
org.apache.metamodel.util.BooleanComparator,96
org.apache.metamodel.util.ToStringComparator,35
org.apache.metamodel.CompositeQueryDelegate,17
org.apache.metamodel.QueryPostprocessDelegate,13
org.apache.metamodel.util.ExclusionPredicate,16
org.apache.metamodel.fixedwidth.FixedWidthDataSet,70
org.apache.metamodel.data.AbstractDataSet,82
org.apache.metamodel.fixedwidth.FixedWidthReader,121
org.apache.metamodel.fixedwidth.InconsistentValueWidthException,24
org.apache.metamodel.jdbc.JdbcColumn,21
org.apache.metamodel.jdbc.JdbcTable,38
org.apache.metamodel.excel.ZeroBasedRowIteratorTest,31
org.apache.metamodel.excel.ZeroBasedRowIterator,21
org.apache.metamodel.delete.AbstractRowDeletionCallbackTest,42
org.apache.metamodel.MockUpdateableDataContext,113
org.apache.metamodel.schema.AbstractColumn,72
org.apache.metamodel.sugarcrm.SugarCrmDataContext,89
org.apache.metamodel.data.MaxRowsDataSet,27
org.apache.metamodel.util.LazyRef,58
org.apache.metamodel.sugarcrm.SugarCrmDataSet,93
org.apache.metamodel.sugarcrm.SugarCrmSchema,34
org.apache.metamodel.schema.ColumnTypeTest,43
org.apache.metamodel.query.FromItemTest,79
org.apache.metamodel.dialects.SQLServerQueryRewriterTest,50
org.apache.metamodel.jdbc.dialects.SQLServerQueryRewriter,68
org.apache.metamodel.jdbc.dialects.AbstractQueryRewriter,183
org.apache.metamodel.intercept.InterceptorList,29
org.apache.metamodel.convert.ConvertedRowInsertionInterceptorTest,25
org.apache.metamodel.convert.StringToIntegerConverter,16
org.apache.metamodel.query.parser.QueryPartCollectionProcessor,19
org.apache.metamodel.util.LegacyDeserializationObjectInputStream,151
org.apache.metamodel.schema.JdbcTypes,39
org.apache.metamodel.schema.SuperColumnType,14
org.apache.metamodel.csv.CsvDataSet,79
org.apache.metamodel.csv.InconsistentRowLengthException,27
org.apache.metamodel.update.Update,69
org.apache.metamodel.query.builder.AbstractFilterBuilder,474
org.apache.metamodel.jdbc.CloseableConnectionWrapper,189
org.apache.metamodel.query.OrderByItemTest,8
org.apache.metamodel.util.ConstantFunc,34
org.apache.metamodel.util.BaseObjectTest,21
org.apache.metamodel.util.ObjectComparatorTest,30
org.apache.metamodel.util.Month,46
org.apache.metamodel.util.EqualsBuilderTest,27
org.apache.metamodel.util.NumberComparatorTest,10
org.apache.metamodel.salesforce.SalesforceDataSetTest,18
org.apache.metamodel.salesforce.SalesforceDataSet,80
org.apache.metamodel.insert.InsertInto,32
org.apache.metamodel.csv.CsvUpdateCallback,165
org.apache.metamodel.util.FileResource,103
org.apache.metamodel.csv.CsvConfiguration,81
org.apache.metamodel.csv.CsvDataContext,253
org.apache.metamodel.csv.CsvWriter,47
org.apache.metamodel.csv.CsvCreateTableBuilder,22
org.apache.metamodel.csv.CsvInsertBuilder,14
org.apache.metamodel.csv.CsvTable,93
org.apache.metamodel.csv.CsvTableDropBuilder,11
org.apache.metamodel.csv.CsvDeleteBuilder,52
org.apache.metamodel.data.EmptyDataSet,22
org.apache.metamodel.data.CachingDataSetHeader,47
org.apache.metamodel.csv.SingleLineCsvDataSet,74
org.apache.metamodel.csv.SingleLineCsvRow,73
org.apache.metamodel.query.LogicalOperator,3
org.apache.metamodel.spring.PojoDataContextFactoryBeanDelegateTest,20
org.apache.metamodel.pojo.PojoDataContext,70
org.apache.metamodel.spring.DataContextFactoryBean,253
org.apache.metamodel.util.LegacyDeserializationObjectInputStreamTest,25
org.apache.metamodel.DataContextFactory,168
org.apache.metamodel.cassandra.CassandraDataContext,118
org.apache.metamodel.elasticsearch.ElasticSearchDataContext,245
org.apache.metamodel.couchdb.CouchDbDataContext,107
org.apache.metamodel.fixedwidth.FixedWidthConfiguration,79
org.apache.metamodel.fixedwidth.FixedWidthDataContext,104
org.apache.metamodel.json.JsonDataContext,56
org.apache.metamodel.openoffice.OpenOfficeDataContext,75
org.apache.metamodel.salesforce.SalesforceDataContext,255
org.apache.metamodel.xml.XmlDomDataContext,413
org.apache.metamodel.CompositeDataContext,133
org.apache.metamodel.spring.ExcelSpecifiedConfigurationFromFilenameTest,15
org.apache.metamodel.util.FalsePredicate,15
org.apache.metamodel.convert.ConvertedDataSetInterceptor,46
org.apache.metamodel.convert.ConvertedDataSet,35
org.apache.metamodel.xml.XmlDomDataContextTest,239
org.apache.metamodel.jdbc.dialects.HsqldbQueryRewriter,60
org.apache.metamodel.jdbc.dialects.DefaultQueryRewriter,106
org.apache.metamodel.jdbc.DerbyTest,282
org.apache.metamodel.jdbc.JdbcTestTemplates,440
org.apache.metamodel.jdbc.FetchSizeCalculator,131
org.apache.metamodel.jdbc.JdbcCreateTableBuilder,90
org.apache.metamodel.jdbc.JdbcTestCase,22
org.apache.metamodel.intercept.InterceptableDataContext,202
org.apache.metamodel.query.builder.InitFromBuilderImpl,52
org.apache.metamodel.util.HasNameMapper,7
org.apache.metamodel.intercept.InterceptableUpdateScript,30
org.apache.metamodel.salesforce.SalesforceTestCase,46
org.apache.metamodel.mongodb.MongoDbTableCreationBuilder,25
org.apache.metamodel.mongodb.MongoDbDropTableBuilder,14
org.apache.metamodel.mongodb.MongoDbDeleteBuilder,17
org.apache.metamodel.util.SimpleTableDefParserTest,53
org.apache.metamodel.util.SimpleTableDefParser,58
org.apache.metamodel.sugarcrm.SugarCrmDataContextTest,176
org.apache.metamodel.sugarcrm.SugarCrmTestCase,44
org.apache.metamodel.xml.XmlSaxDataContextTest,185
org.apache.metamodel.xml.XmlSaxTableDef,42
org.apache.metamodel.xml.XmlSaxDataContext,158
org.apache.metamodel.cassandra.CassandraDataSet,22
org.apache.metamodel.cassandra.CassandraUtils,55
org.apache.metamodel.schema.builder.SingleTableInferentialSchemaBuilder,23
org.apache.metamodel.schema.builder.InferentialSchemaBuilder,72
org.apache.metamodel.schema.builder.InferentialTableBuilder,67
org.apache.metamodel.elasticsearch.ElasticSearchDataSet,72
org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,29
org.apache.metamodel.hbase.HBaseRow,48
org.apache.metamodel.data.AbstractRow,128
org.apache.metamodel.hbase.HBaseDataContext,141
org.apache.metamodel.hbase.HBaseFamilyMap,75
org.apache.metamodel.elasticsearch.ElasticSearchMetaData,14
org.apache.metamodel.elasticsearch.ElasticSearchUpdateCallback,43
org.apache.metamodel.elasticsearch.ElasticSearchMetaDataParser,57
org.apache.metamodel.SchemaNameComparatorTest,13
org.apache.metamodel.SchemaNameComparator,25
org.apache.metamodel.schema.MutableRelationship,66
org.apache.metamodel.schema.AbstractRelationship,85
org.apache.metamodel.util.LazyRefTest,54
org.apache.metamodel.data.DefaultRowTest,78
org.apache.metamodel.data.StyleBuilder,141
org.apache.metamodel.delete.AbstractRowDeletionBuilder,71
org.apache.metamodel.jdbc.QuerySplitterTest,163
org.apache.metamodel.jdbc.QuerySplitter,230
org.apache.metamodel.schema.MutableSchemaTest,23
org.apache.metamodel.schema.AbstractSchema,133
org.apache.metamodel.xml.XmlSaxContentHandlerTest,35
org.apache.metamodel.xml.XmlSaxContentHandler,116
org.apache.metamodel.csv.UnicodeWriterTest,17
org.apache.metamodel.util.UnicodeWriter,54
org.apache.metamodel.jdbc.JdbcSchemaTest,50
org.apache.metamodel.jdbc.JdbcSchema,37
org.apache.metamodel.schema.TableTypeTest,14
org.apache.metamodel.util.InMemoryResourceTest,48
org.apache.metamodel.spring.ExcelDataContextFactoryBeanDelegate,13
org.apache.metamodel.spring.AbstractDataContextFactoryBeanDelegate,57
org.apache.metamodel.excel.ExcelDataContextTest,583
org.apache.metamodel.excel.XlsxSpreadsheetReaderDelegate,120
org.apache.metamodel.csv.RandomizedExampleValueGenerator,59
org.apache.metamodel.sugarcrm.LoggingMessageHandler,36
org.apache.metamodel.hbase.HBaseDataSet,38
org.apache.metamodel.fixedwidth.FixedWidthDataContextTest,155
org.apache.metamodel.InconsistentRowFormatException,26
org.apache.metamodel.util.SharedExecutorService,27
org.apache.metamodel.create.AbstractColumnBuilder,47
org.apache.metamodel.jdbc.SqlKeywords,25
org.apache.metamodel.data.DataSetIterator,35
org.apache.metamodel.spring.MongoDbDataContextFactoryBeanDelegate,12
org.apache.metamodel.drop.AbstractTableDropBuilder,21
org.apache.metamodel.data.SubSelectionDataSet,24
org.apache.metamodel.query.builder.JoinFromBuilderImpl,47
org.apache.metamodel.query.builder.SatisfiedFromBuilderCallback,114
org.apache.metamodel.salesforce.SalesforceUpdateCallback,185
org.apache.metamodel.salesforce.SalesforceInsertBuilder,28
org.apache.metamodel.salesforce.SalesforceDeleteBuilder,20
org.apache.metamodel.salesforce.SalesforceUtils,18
org.apache.metamodel.salesforce.SalesforceUpdateBuilder,43
org.apache.metamodel.util.FileHelperTest,45
org.apache.metamodel.util.AlphabeticSequence,31
org.apache.metamodel.query.OperatorTypeTest,11
org.apache.metamodel.csv.CsvConfigurationTest,18
org.apache.metamodel.schema.Java5Types,31
org.apache.metamodel.elasticsearch.ElasticSearchDataContextTest,435
org.apache.metamodel.create.CreateTable,18
org.apache.metamodel.delete.DeleteFrom,44
org.apache.metamodel.drop.DropTable,27
org.apache.metamodel.elasticsearch.utils.EmbeddedElasticsearchServer,31
org.apache.metamodel.schema.ImmutableSchemaTest,8
org.apache.metamodel.schema.ImmutableSchema,35
org.apache.metamodel.convert.StringToDoubleConverterTest,14
org.apache.metamodel.convert.StringToDoubleConverter,16
org.apache.metamodel.query.FilterItemTest,303
org.apache.metamodel.couchdb.CouchDbRowDeletionBuilder,26
org.apache.metamodel.couchdb.CouchDbUpdateCallback,85
org.apache.metamodel.jdbc.integrationtests.SQLServerMicrosoftDriverTest,93
org.apache.metamodel.query.parser.QueryPartParser,88
org.apache.metamodel.schema.builder.InferentialColumnBuilder,68
org.apache.metamodel.spring.MockDataContextFactoryBeanDelegate,7
org.apache.metamodel.excel.XlsxSheetToRowsHandler,222
org.apache.metamodel.excel.XlsxStopParsingException,3
org.apache.metamodel.couchdb.CouchDbInsertionBuilder,21
org.apache.metamodel.query.parser.QueryParser,185
org.apache.metamodel.query.parser.FromItemParser,122
org.apache.metamodel.query.parser.WhereItemParser,10
org.apache.metamodel.query.parser.GroupByItemParser,10
org.apache.metamodel.query.parser.HavingItemParser,10
org.apache.metamodel.query.parser.OrderByItemParser,10
org.apache.metamodel.data.StyleImpl,128
org.apache.metamodel.csv.CsvBigFileMemoryTest,66
org.apache.metamodel.csv.ExampleDataGenerator,55
org.apache.metamodel.data.DataSetTableModelTest,19
org.apache.metamodel.salesforce.SalesforceDataContextTest,256
org.apache.metamodel.couchdb.CouchDbRowUpdationBuilder,39
org.apache.metamodel.update.AbstractRowUpdationBuilder,74
org.apache.metamodel.schema.ImmutableColumn,90
org.apache.metamodel.schema.ImmutableTable,59
org.apache.metamodel.openoffice.OpenOfficeDataContextTest,58
org.apache.metamodel.schema.CompositeSchema,48
org.apache.metamodel.excel.XlsDataSet,31
org.apache.metamodel.jdbc.dialects.DB2QueryRewriter,87
org.apache.metamodel.jdbc.dialects.H2QueryRewriter,5
org.apache.metamodel.jdbc.dialects.OracleQueryRewriter,39
org.apache.metamodel.jdbc.dialects.PostgresqlQueryRewriter,36
org.apache.metamodel.jdbc.JdbcCompiledQuery,99
org.apache.metamodel.jdbc.JdbcUpdateCallback,156
org.apache.metamodel.jdbc.JdbcMetadataLoader,375
org.apache.metamodel.jdbc.JdbcDataSet,131
org.apache.metamodel.jdbc.JdbcBatchUpdateCallback,37
org.apache.metamodel.jdbc.JdbcSimpleUpdateCallback,13
org.apache.metamodel.couchdb.CouchDbTestCase,55
org.apache.metamodel.data.FirstRowDataSetTest,46
org.apache.metamodel.data.FirstRowDataSet,35
org.apache.metamodel.jdbc.SplitQueriesDataSet,59
org.apache.metamodel.query.builder.WhereBuilderImplTest,40
org.apache.metamodel.query.builder.WhereBuilderImpl,102
org.apache.metamodel.query.builder.GroupedQueryBuilderImpl,247
org.apache.metamodel.create.CreateTableColumnBuilder,14
org.apache.metamodel.jdbc.integrationtests.MysqlTest,305
org.apache.metamodel.insert.SyntaxExamplesTest,13
org.apache.metamodel.convert.StringToBooleanConverterTest,12
org.apache.metamodel.convert.StringToBooleanConverter,16
org.apache.metamodel.util.ClasspathResource,97
org.apache.metamodel.query.builder.SyntaxExamplesTest,40
org.apache.metamodel.csv.SingleLineCsvDataSetTest,31
org.apache.metamodel.query.SelectClauseTest,11
org.apache.metamodel.convert.StringToDateConverterTest,32
org.apache.metamodel.convert.StringToDateConverter,58
org.apache.metamodel.csv.DefaultExampleValueGenerator,6
org.apache.metamodel.excel.DefaultSpreadsheetReaderDelegateTest,173
org.apache.metamodel.excel.DefaultSpreadsheetReaderDelegate,108
org.apache.metamodel.intercept.InterceptableDataContextTest,65
org.apache.metamodel.jdbc.JdbcInsertBuilder,100
org.apache.metamodel.jdbc.JdbcDeleteBuilder,50
org.apache.metamodel.pojo.ObjectTableDataProvider,109
org.apache.metamodel.schema.ImmutableRelationship,50
org.apache.metamodel.excel.XlsxWorkbookToTablesHandler,25
org.apache.metamodel.schema.builder.SingleMapColumnSchemaBuilder,39
org.apache.metamodel.excel.XlsxRowPublisherAction,59
org.apache.metamodel.data.MaxRowsDocumentSource,21
org.apache.metamodel.util.AlphabeticSequenceTest,42
org.apache.metamodel.convert.ColumnTypeDetectorTest,33
org.apache.metamodel.convert.ColumnTypeDetector,50
org.apache.metamodel.excel.ExcelUpdateCallbackTest,49
org.apache.metamodel.update.SyntaxExamplesTest,7
org.apache.metamodel.jdbc.JdbcInsertBuilderTest,47
org.apache.metamodel.query.SelectItemTest,57
org.apache.metamodel.mongodb.MongoDbDataCopyer,67
org.apache.metamodel.elasticsearch.ElasticSearchDropTableBuilder,49
org.apache.metamodel.pojo.ObjectTableDataProviderTest,10
org.apache.metamodel.pojo.FoobarBean,31
org.apache.metamodel.fixedwidth.FixedWidthConfigurationTest,17
org.apache.metamodel.csv.CsvDataContextTest,600
org.apache.metamodel.util.InclusionPredicate,16
org.apache.metamodel.hbase.HBaseTestCase,39
org.apache.metamodel.intercept.InterceptableUpdateCallback,83
org.apache.metamodel.intercept.InterceptableTableCreationBuilder,37
org.apache.metamodel.intercept.InterceptableRowInsertionBuilder,69
org.apache.metamodel.intercept.InterceptableTableDropBuilder,23
org.apache.metamodel.intercept.InterceptableRowUpdationBuilder,87
org.apache.metamodel.intercept.InterceptableRowDeletionBuilder,48
org.apache.metamodel.query.builder.TableFromBuilderImpl,63
org.apache.metamodel.hbase.HBaseConfiguration,51
org.apache.metamodel.hbase.HBaseTable,74
org.apache.metamodel.hbase.ByteUtils,73
org.apache.metamodel.intercept.InterceptorsTest,8
org.apache.metamodel.intercept.Interceptors,10
org.apache.metamodel.dialects.MysqlQueryRewriterTest,23
org.apache.metamodel.schema.Java6Types,37
org.apache.metamodel.create.ColumnCreationBuilderImpl,27
org.apache.metamodel.util.InclusionPredicateTest,9
org.apache.metamodel.jdbc.JdbcDataContextTest,473
org.apache.metamodel.spring.CouchDbDataContextFactoryBeanDelegate,11
org.apache.metamodel.jdbc.JdbcDropTableBuilder,29
org.apache.metamodel.jdbc.JdbcUpdateBuilder,95
org.apache.metamodel.util.TimeComparatorTest,41
org.apache.metamodel.data.DocumentSourceDataSet,36
org.apache.metamodel.json.JsonDocumentSource,44
org.apache.metamodel.dialects.AbstractQueryRewriterTest,25
org.apache.metamodel.salesforce.SalesforceTable,111
org.apache.metamodel.jdbc.HsqldbTest,279
org.apache.metamodel.util.SerializableRef,53
org.apache.metamodel.convert.StringToIntegerConverterTest,12
org.apache.metamodel.query.parser.QueryPartParserTest,62
org.apache.metamodel.jdbc.H2databaseTest,371
org.apache.metamodel.util.ImmutableRef,13
org.apache.metamodel.CompositeDataContextTest,67
org.apache.metamodel.util.DateUtilsTest,12
org.apache.metamodel.util.Weekday,41
org.apache.metamodel.util.FormatHelper,162
org.apache.metamodel.schema.JavaTypesTest,19
org.apache.metamodel.util.SimpleRefTest,9
org.apache.metamodel.query.OrderByClause,14
org.apache.metamodel.csv.CsvSchema,32
org.apache.metamodel.data.ColorImpl,43
org.apache.metamodel.cassandra.CassandraDataContextTest,174
org.apache.metamodel.data.FilteredDataSet,36
org.apache.metamodel.cassandra.CassandraTestCase,55
org.apache.metamodel.cassandra.CassandraSimpleClient,14
org.apache.metamodel.util.BooleanComparatorTest,23
org.apache.metamodel.query.FromClauseTest,17
org.apache.metamodel.jdbc.integrationtests.DB2Test,84
org.apache.metamodel.util.AbstractNumberAggregateBuilder,19
org.apache.metamodel.intercept.InterceptableColumnCreationBuilder,61
org.apache.metamodel.query.builder.ColumnSelectBuilderImpl,22
org.apache.metamodel.query.builder.FunctionSelectBuilderImpl,22
org.apache.metamodel.query.builder.CountSelectBuilderImpl,21
org.apache.metamodel.query.builder.SatisfiedSelectBuilderImpl,37
org.apache.metamodel.query.builder.SatisfiedOrderByBuilderImpl,29
org.apache.metamodel.pojo.PojoUpdateCallback,88
org.apache.metamodel.pojo.MapTableDataProvider,29
org.apache.metamodel.pojo.PojoDataSet,34
org.apache.metamodel.dialects.DB2QueryRewriterTest,125
org.apache.metamodel.intercept.InterceptorListTest,26
org.apache.metamodel.spring.CsvDataContextFactoryBeanDelegate,16
org.apache.metamodel.spring.JdbcDataContextFactoryBeanDelegate,34
org.apache.metamodel.spring.PojoDataContextFactoryBeanDelegate,19
org.apache.metamodel.query.FunctionTypeTest,17
org.apache.metamodel.couchdb.CouchDbTableCreationBuilder,35
org.apache.metamodel.couchdb.CouchDbDatabaseDocumentSource,40
org.apache.metamodel.couchdb.CouchDbUtils,43
org.apache.metamodel.couchdb.CouchDbDataSet,30
org.apache.metamodel.mongodb.MongoDbTestCase,65
org.apache.metamodel.query.SumAggregateBuilder,11
org.apache.metamodel.spring.CsvSpecifiedConfigurationFromFilenameTest,14
org.apache.metamodel.convert.ConvertedRowUpdationInterceptor,27
org.apache.metamodel.intercept.InterceptionCsvIntegrationTest,44
org.apache.metamodel.util.MonthTest,13
org.apache.metamodel.util.WildcardPatternTest,18
org.apache.metamodel.util.WildcardPattern,32
org.apache.metamodel.couchdb.CouchDbDocumentConverter,10
org.apache.metamodel.util.ClasspathResourceTest,19
org.apache.metamodel.dialects.PostgresqlQueryRewriterTest,21
org.apache.metamodel.util.FormatHelperTest,33
org.apache.metamodel.xml.XmlStopParsingException,3
org.apache.metamodel.util.SerializableRefTest,27
org.apache.metamodel.salesforce.SalesforceSchema,45
org.apache.metamodel.query.builder.GroupedQueryBuilderImplTest,56
org.apache.metamodel.util.ImmutableDate,18
org.apache.metamodel.elasticsearch.ElasticSearchMetaDataParserTest,29
org.apache.metamodel.query.MinAggregateBuilder,21
org.apache.metamodel.DeleteAndInsertBuilder,49
org.apache.metamodel.DataContextFactoryTest,14
org.apache.metamodel.util.ResourceUtilsTest,20
org.apache.metamodel.hbase.HBaseDataContextTest,117
org.apache.metamodel.pojo.ArrayTableDataProvider,35
org.apache.metamodel.schema.DataTypeTest,4
org.apache.metamodel.query.parser.QueryParserTest,268
org.apache.metamodel.data.StyleBuilderTest,25
org.apache.metamodel.create.SyntaxExamplesTest,13
org.apache.metamodel.schema.SchemaModelTest,61
org.apache.metamodel.elasticsearch.ElasticSearchCreateTableBuilder,74
org.apache.metamodel.elasticsearch.ElasticSearchInsertBuilder,35
org.apache.metamodel.elasticsearch.ElasticSearchDeleteBuilder,29
org.apache.metamodel.data.DataSetIteratorTest,37
org.apache.metamodel.sugarcrm.SugarCrmTable,95
org.apache.metamodel.jdbc.SqliteTest,169
org.apache.metamodel.query.builder.GroupedQueryBuilderCallback,109
org.apache.metamodel.query.AverageAggregateBuilder,14
