Class,same,uchangedLines,deleted,added,changed,all, differenceSection
cassandra\src\main\java\org\apache\metamodel\cassandra\CassandraDataContext.java,226,0,0,1,0,1,1
cassandra\src\main\java\org\apache\metamodel\cassandra\CassandraDataSet.java,60,0,0,0,0,0,0
cassandra\src\main\java\org\apache\metamodel\cassandra\CassandraUtils.java,105,0,0,2,0,2,1
cassandra\src\test\java\org\apache\metamodel\cassandra\CassandraDataContextTest.java,168,28,37,30,14,95,32
cassandra\src\test\java\org\apache\metamodel\cassandra\CassandraSimpleClient.java,51,0,0,0,0,0,0
cassandra\src\test\java\org\apache\metamodel\cassandra\CassandraTestCase.java,0,35,60,0,0,60,18
core\src\main\java\org\apache\metamodel\convert\ColumnTypeDetector.java,82,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\ConvertedDataSet.java,74,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\ConvertedDataSetInterceptor.java,91,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\ConvertedRowInsertionInterceptor.java,75,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\ConvertedRowUpdationInterceptor.java,67,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\Converters.java,329,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\DocumentConverter.java,44,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\HasReadTypeConverters.java,31,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\StringToBooleanConverter.java,51,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\StringToDateConverter.java,124,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\StringToDoubleConverter.java,49,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\StringToIntegerConverter.java,49,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\convert\TypeConverter.java,51,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\AbstractColumnBuilder.java,88,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\AbstractTableCreationBuilder.java,146,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\ColumnBuilder.java,88,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\ColumnCreationBuilder.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\ColumnCreationBuilderImpl.java,61,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\CreateTable.java,67,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\CreateTableColumnBuilder.java,45,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\TableCreatable.java,71,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\create\TableCreationBuilder.java,75,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\AbstractDataSet.java,169,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\AbstractRow.java,176,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\AbstractRowBuilder.java,146,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\CachingDataSetHeader.java,96,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\ColorImpl.java,77,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DataSet.java,97,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DataSetHeader.java,41,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DataSetIterator.java,67,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DataSetTableModel.java,110,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DefaultRow.java,231,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\Document.java,77,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DocumentSource.java,39,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\DocumentSourceDataSet.java,69,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\EmptyDataSet.java,57,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\FilteredDataSet.java,66,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\FirstRowDataSet.java,73,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\InMemoryDataSet.java,93,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\IRowFilter.java,37,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\MaxRowsDataSet.java,56,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\MaxRowsDocumentSource.java,50,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\Row.java,135,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\RowBuilder.java,119,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\RowPublisher.java,68,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\RowPublisherDataSet.java,112,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\RowPublisherImpl.java,124,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\SimpleDataSetHeader.java,132,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\Style.java,148,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\StyleBuilder.java,353,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\StyleImpl.java,173,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\SubSelectionDataSet.java,55,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\data\WhereClauseBuilder.java,69,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\delete\AbstractRowDeletionBuilder.java,135,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\delete\DeleteFrom.java,94,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\delete\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\delete\RowDeletable.java,68,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\delete\RowDeletionBuilder.java,55,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\drop\AbstractTableDropBuilder.java,51,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\drop\DropTable.java,68,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\drop\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\drop\TableDropBuilder.java,49,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\drop\TableDroppable.java,44,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\insert\AbstractRowInsertionBuilder.java,106,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\insert\InsertInto.java,77,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\insert\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\insert\RowInsertable.java,90,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\insert\RowInsertionBuilder.java,66,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\DataSetInterceptor.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableColumnCreationBuilder.java,102,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableDataContext.java,284,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableRowDeletionBuilder.java,87,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableRowInsertionBuilder.java,111,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableRowUpdationBuilder.java,136,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableTableCreationBuilder.java,69,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableTableDropBuilder.java,53,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableUpdateCallback.java,128,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptableUpdateScript.java,62,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\Interceptor.java,50,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\InterceptorList.java,72,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\Interceptors.java,35,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\QueryInterceptor.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\RowDeletionInterceptor.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\RowInsertionInterceptor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\RowUpdationInterceptor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\SchemaInterceptor.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\TableCreationInterceptor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\intercept\TableDropInterceptor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\AbstractFilterBuilder.java,598,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\AbstractQueryFilterBuilder.java,444,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\ColumnSelectBuilder.java,25,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\ColumnSelectBuilderImpl.java,54,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\CountSelectBuilder.java,25,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\CountSelectBuilderImpl.java,51,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\FilterBuilder.java,455,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\FunctionSelectBuilder.java,25,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\FunctionSelectBuilderImpl.java,56,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\GroupedQueryBuilder.java,34,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\GroupedQueryBuilderCallback.java,168,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\GroupedQueryBuilderImpl.java,332,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\HavingBuilder.java,26,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\HavingBuilderImpl.java,87,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\InitFromBuilder.java,37,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\InitFromBuilderImpl.java,89,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\JoinFromBuilder.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\JoinFromBuilderImpl.java,87,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\package-info.java,23,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedFromBuilder.java,52,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedFromBuilderCallback.java,168,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedHavingBuilder.java,29,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedOrderByBuilder.java,31,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedOrderByBuilderImpl.java,64,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedQueryBuilder.java,131,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedSelectBuilder.java,35,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedSelectBuilderImpl.java,67,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\SatisfiedWhereBuilder.java,33,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\TableFromBuilder.java,40,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\TableFromBuilderImpl.java,104,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\WhereBuilder.java,86,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\builder\WhereBuilderImpl.java,151,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\FromItemParser.java,201,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\GroupByItemParser.java,36,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\HavingItemParser.java,36,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\OrderByItemParser.java,36,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\QueryParser.java,264,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\QueryParserException.java,46,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\QueryPartCollectionProcessor.java,52,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\QueryPartParser.java,126,0,0,0,0,0,0
core\src\main\java\org\apache\metamodel\query\parser\QueryPartProcessor.java,38,0,0,0,0,0,0
