"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",1,0.00217864923747277,0.0466760028009337,0.00217864923747277,0,0,0,0,1,21.3542076276811,457.002183406113,5.5942829183792e-43,0
"ComplexClass",25,0.0544662309368192,0.227182977571403,0.0516121052982086,0,0,0,0,1,3.92652565083127,16.4176036866359,1.61198229604017e-39,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",2,0.00435729847494553,0.0659377336797136,0.00434778472281683,0,0,0,0,1,15.0500623376654,227.504376367615,9.66526185904245e-43,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",18,0.0392156862745098,0.19431953632823,0.0377600821988184,0,0,0,0,1,4.74771695939539,23.5408163265306,2.55123837487804e-40,1.90232274377422e-11
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",46,0.100217864923747,0.334970435420668,0.112205192605912,0,0,0,0,2,3.49439656585333,15.4283576488236,6.95919904894566e-38,0
"LOC",28665,62.4509803921569,87.4156317781193,7641.49267916774,3,19,35,66,862,4.46360943104345,30.4871574852092,2.06420740305849e-32,0
"all",162,0.352941176470588,4.98531107188226,24.8533264834318,0,0,0,0,95,16.8766039308971,302.550717107348,1.18459042323073e-42,0
