"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","2","","","-1","-0.274891774891775","","0.00757575757575758","","0.038961038961039","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","2","-1","","","-0.274891774891775","","0.00757575757575758","","0.038961038961039","","","","",""
"ComplexClass","32","-0.0243055555555556","","-0.0243055555555556","","","0.015697337962963","","-0.210575810185185","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","5","0.00871459694989107","","0.00871459694989107","0.254901960784314","","","","0.0784313725490196","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","8","0.00767543859649123","","0.00767543859649123","-0.0844298245614035","","0.0134320175438596","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
