"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","462","","","0.000278405169709518","0.130945847082211","","0.00481859410430839","","0.0271152632840945","","","","",""
"Blob_0","464","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","462","0.000278405169709518","","","0.130945847082211","","0.00481859410430839","","0.0271152632840945","","","","",""
"ComplexClass_0","432","0.00213030059044552","","0.00213030059044552","","","0.00515321869488536","","0.0244937482784705","","","","",""
"LargeClass_0","464","","","","","","","","","","","","",""
"LazyClass_0","459","0.00209576584256891","","0.00209576584256891","0.132527918704389","","","","0.0272924872271278","","","","",""
"LongMethod_0","464","","","","","","","","","","","","",""
"LongParameterList_0","456","0.00210955377574371","","0.00210955377574371","0.131601567292357","","0.00488199665831245","","","","","","",""
"MessageChains_0","464","","","","","","","","","","","","",""
"RefusedParentBequest_0","464","","","","","","","","","","","","",""
"SpaghettiCode_0","464","","","","","","","","","","","","",""
"SpeculativeGenerality_0","464","","","","","","","","","","","","",""
"SwissArmyKnife_0","464","","","","","","","","","","","","",""
"AntiSingleton_1","2","","","0.416666666666667","0.166666666666667","","0","","0","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","2","0.416666666666667","","","0.166666666666667","","0","","0","","","","",""
"ComplexClass_1","32","0.00130208333333333","","0.00130208333333333","","","0","","0.0608110119047619","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","5","0","","0","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","8","0","","0","0.1025","","0","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
