ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.mina.core.BenchmarkBinaryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkBinaryTest.java,0,0,0,0
org.apache.mina.core.BenchmarkClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkClient.java,0,0,0,0
org.apache.mina.core.BenchmarkClientFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkClientFactory.java,0,0,0,0
org.apache.mina.core.BenchmarkFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkFactory.java,0,0,0,0
org.apache.mina.core.BenchmarkServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkServer.java,0,0,0,0
org.apache.mina.core.BenchmarkServerFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\BenchmarkServerFactory.java,0,0,0,0
org.apache.mina.core.DefaultIoFilterChainBuilderTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,src\mina-core\src\test\java\org\apache\mina\core\DefaultIoFilterChainBuilderTest.java,0,0,0,0
org.apache.mina.core.FutureTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,src\mina-core\src\test\java\org\apache\mina\core\FutureTest.java,0,0,0,0
org.apache.mina.core.IoServiceListenerSupportTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,139,src\mina-core\src\test\java\org\apache\mina\core\IoServiceListenerSupportTest.java,0,0,0,0
org.apache.mina.core.IoUtil, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,src\mina-core\src\main\java\org\apache\mina\core\IoUtil.java,0,0,0,0
org.apache.mina.core.MinaBenchmarkClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,src\mina-benchmarks\src\test\java\org\apache\mina\core\MinaBenchmarkClient.java,0,0,0,0
org.apache.mina.core.MinaBenchmarkServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,src\mina-benchmarks\src\test\java\org\apache\mina\core\MinaBenchmarkServer.java,0,0,0,0
org.apache.mina.core.MinaClientVsMinaServerBenchmarkBinaryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\MinaClientVsMinaServerBenchmarkBinaryTest.java,0,0,0,0
org.apache.mina.core.MinaClientVsNettyServerBenchmarkBinaryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\mina-benchmarks\src\test\java\org\apache\mina\core\MinaClientVsNettyServerBenchmarkBinaryTest.java,0,0,0,0
org.apache.mina.core.NettyBenchmarkClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,src\mina-benchmarks\src\test\java\org\apache\mina\core\NettyBenchmarkClient.java,0,0,0,0
org.apache.mina.core.NettyClientVsMinaServerBenchmarkBinaryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,src\mina-benchmarks\src\test\java\org\apache\mina\core\NettyClientVsMinaServerBenchmarkBinaryTest.java,0,0,0,0
org.apache.mina.core.NettyClientVsNettyServerBenchmarkBinaryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,src\mina-benchmarks\src\test\java\org\apache\mina\core\NettyClientVsNettyServerBenchmarkBinaryTest.java,0,0,0,0
org.apache.mina.core.RuntimeIoException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,src\mina-core\src\main\java\org\apache\mina\core\RuntimeIoException.java,0,0,0,0
org.apache.mina.core.buffer.BufferDataException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,src\mina-core\src\main\java\org\apache\mina\core\buffer\BufferDataException.java,0,0,0,0
org.apache.mina.core.buffer.IoBufferAllocator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,src\mina-core\src\main\java\org\apache\mina\core\buffer\IoBufferAllocator.java,0,0,0,0
org.apache.mina.core.buffer.IoBufferTest, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069,src\mina-core\src\test\java\org\apache\mina\core\buffer\IoBufferTest.java,0,17,0,17
org.apache.mina.core.buffer.SimpleBufferAllocator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,src\mina-core\src\main\java\org\apache\mina\core\buffer\SimpleBufferAllocator.java,0,0,0,0
org.apache.mina.core.file.DefaultFileRegion, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,43,src\mina-core\src\main\java\org\apache\mina\core\file\DefaultFileRegion.java,0,0,0,0
org.apache.mina.core.file.FileRegion, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\mina-core\src\main\java\org\apache\mina\core\file\FileRegion.java,0,0,0,0
org.apache.mina.core.file.FilenameFileRegion, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,16,src\mina-core\src\main\java\org\apache\mina\core\file\FilenameFileRegion.java,0,0,0,0
org.apache.mina.core.filterchain.IoFilter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,src\mina-core\src\main\java\org\apache\mina\core\filterchain\IoFilter.java,0,0,0,0
org.apache.mina.core.filterchain.IoFilterAdapter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,46,src\mina-core\src\main\java\org\apache\mina\core\filterchain\IoFilterAdapter.java,0,0,0,0
org.apache.mina.core.filterchain.IoFilterChain, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,src\mina-core\src\main\java\org\apache\mina\core\filterchain\IoFilterChain.java,0,0,0,0
org.apache.mina.core.filterchain.IoFilterChainBuilder, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,src\mina-core\src\main\java\org\apache\mina\core\filterchain\IoFilterChainBuilder.java,0,0,0,0
org.apache.mina.core.filterchain.IoFilterEvent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,62,src\mina-core\src\main\java\org\apache\mina\core\filterchain\IoFilterEvent.java,0,0,0,0
