"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","0.0198019801980198","0.0346534653465347","","","","0.0891089108910891","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","5","0.0297029702970297","","","0.0346534653465347","","","","0.0891089108910891","","","","",""
"ComplexClass","7","0.03","","0.02","","","","","0.09","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","9","0.0303030303030303","","0.0202020202020202","0.0353535353535354","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
