"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.76329219104946,0.512473297945759,-7.34339175550133,2.08247828023226e-13
"sloc",0.0116439078634724,0.00461951486611369,2.52059105792383,0.0117157921098467
"AntiSingleton",1.87838746983379,1.06199072951683,1.768741870928,0.0769369613650437
"ClassDataShouldBePrivate",-0.1135223300752,1.42053285843589,-0.0799153144547433,0.936304609613044
"ComplexClass",-17.4484502955467,3253.19469538368,-0.00536348172468936,0.99572058125736
"LongParameterList",1.58267488272598,0.788159594976643,2.00806396675648,0.0446364947061618
"(Intercept)",-3.52317141166375,0.471074341963371,-7.47901360320255,7.48825233231522e-14
"sloc",0.00935912834153005,0.00415919660841423,2.25022503687278,0.0244346637421451
"LongParameterList",1.4836241124618,0.77642358674164,1.9108436912485,0.0560246710671489
"(Intercept)",-3.34473040115497,0.433393580920816,-7.71753562673574,1.18600384679496e-14
"sloc",0.00874602682537624,0.00401244294219912,2.17972615470583,0.0292777666191283
