"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","0.548541600659887","0.292357355957088","","0.778854606061053","","0.554404024661608","","","","0.949913683210329",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","31","0.454586512809975","","","0.563711193559002","","0.471515823692921","","0.00148282058497891","","","","0.847498098414195",""
"ComplexClass","52","0.0226756023426331","","0.737039240982231","","","0.856500367255282","","6.13711855943785e-08","","","","0.798050102916149",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","24","0.512717231833732","","0.18222554025689","0.170802052097195","","","","0.0214807691906789","","","","0.867508203328317",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","135","0.0540654558159217","","2.98153791542334e-06","3.9205916795586e-16","","0.382351056097422","","","","","","0.658531853511973",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0.90236083237019","","0.791981834145564","0.618398948778328","","0.906507637347589","","0.514697311098262","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
