"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.55969843516504,0.223786172290866,-15.9066952114375,5.6940892826287e-57
"sloc",0.00643640187486091,0.00168581950486896,3.81796619167792,0.000134556359229798
"AntiSingleton",-33.7253200301422,47453132.8121257,-7.10707977145913e-07,0.999999432937078
"ClassDataShouldBePrivate",0.178464863430142,1.02367146705374,0.174338026577792,0.861599815925175
"ComplexClass",0.00960398197270372,0.770298975216941,0.0124678628450712,0.990052342453633
"LongParameterList",0.300865045079548,0.469766288556471,0.640456866336803,0.521875622803674
"AntiSingleton:ComplexClass",-0.701517265392752,82191237.0089155,-8.53518320105897e-09,0.999999993189909
"AntiSingleton:LongParameterList",-0.426374870890307,67108863.9999999,-6.35348068014246e-09,0.999999994930656
"ClassDataShouldBePrivate:ComplexClass",-33.8844250106143,67108863.9999999,-5.04917279044007e-07,0.999999597134299
"ClassDataShouldBePrivate:LongParameterList",1.55268278538568,1.48974586050748,1.04224675264864,0.297297292283882
"ComplexClass:LongParameterList",-3.04732524801217,1.64856450101692,-1.84847195613664,0.0645340976681765
"(Intercept)",-3.39079165835373,0.185677425575366,-18.2617334759277,1.66906989647045e-74
"sloc",0.0039692267335706,0.00062636742307353,6.33689841993051,2.34436440213239e-10
