"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-5.4823144205455,1.08431762072111,-5.05600417790829,4.28131957271868e-07
"sloc",0.0260487869088881,0.0129046780175152,2.01855380456085,0.0435336165453534
"AntiSingleton",2.71257577298643,5.00021033499369,0.542492333572974,0.587479387361423
"ClassDataShouldBePrivate",-32.1995342540224,47453132.8121264,-6.78554446162804e-07,0.999999458591884
"ComplexClass",-35.7219717613345,12610121.0562366,-2.8328016521037e-06,0.999997739751298
"LongParameterList",3.44633564247669,2.30938330390556,1.49231859286778,0.135615644807728
"AntiSingleton:ClassDataShouldBePrivate",-2.73080991191189,56147303.9349126,-4.86365278567518e-08,0.999999961193665
"AntiSingleton:ComplexClass",-2.35220560649959,99538531.1335031,-2.36311062632094e-08,0.999999981145105
"AntiSingleton:LongParameterList",-7.34862832046003,99139295.2062065,-7.41242743876192e-08,0.999999940857386
"ClassDataShouldBePrivate:ComplexClass",34.6930446939776,68283341.8955424,5.08074791463047e-07,0.999999594614968
"ComplexClass:LongParameterList",-4.12073351345304,28660087.216234,-1.43779517569609e-07,0.999999885280543
"(Intercept)",-2.52223119717521,0.172696390481948,-14.6050023983498,2.60973086798105e-48
"sloc",0.00907962390744946,0.000905476867427844,10.0274498820071,1.15460062563986e-23
