"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.90037199936728,0.315799887396027,-12.3507707096679,4.82469924907181e-35
"sloc",0.015395680746595,0.00143020044948088,10.7647013760785,5.05250879256894e-27
"ClassDataShouldBePrivate",-33.5281734092537,25364766.4160079,-1.32184041671655e-06,0.99999894532394
"ComplexClass",-35.261799578945,16045930.7102536,-2.1975540226166e-06,0.999998246605574
"LongParameterList",2.90800443892072,0.272203642893982,10.6831944201913,1.21999881465545e-26
"ClassDataShouldBePrivate:ComplexClass",34.1943657089019,49010643.1654091,6.97692654093464e-07,0.999999443321803
"ClassDataShouldBePrivate:LongParameterList",-4.99981346989183,84489061.2709458,-5.91770507883625e-08,0.999999952783545
"ComplexClass:LongParameterList",-3.58406524192897,33669006.0929185,-1.06449986436719e-07,0.999999915065199
"(Intercept)",-2.88448951135654,0.2044551584534,-14.1081767424028,3.38209482707144e-45
"sloc",0.00536134827685614,0.00100308074200339,5.34488207414715,9.04759381144773e-08
"LongParameterList",2.33162836724242,0.274542901594442,8.4927650786132,2.01777903013375e-17
