Class,same,uchangedLines,deleted,added,changed,all, differenceSection
applications\accounting\src\org\ofbiz\accounting\agreement\AgreementServices.java,194,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\finaccount\FinAccountPaymentServices.java,1038,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\finaccount\FinAccountProductServices.java,265,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\finaccount\FinAccountServices.java,504,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\invoice\InvoiceServices.java,3503,5,0,14,1,16,9
applications\accounting\src\org\ofbiz\accounting\invoice\InvoiceWorker.java,746,0,0,1,4,9,3
applications\accounting\src\org\ofbiz\accounting\ledger\GeneralLedgerServices.java,81,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\payment\BillingAccountWorker.java,320,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\payment\GiftCertificateServices.java,1504,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\payment\PaymentGatewayServices.java,3762,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\payment\PaymentMethodServices.java,903,0,0,0,8,16,4
applications\accounting\src\org\ofbiz\accounting\payment\PaymentWorker.java,334,0,0,1,2,5,2
applications\accounting\src\org\ofbiz\accounting\period\PeriodServices.java,102,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\tax\TaxAuthorityServices.java,573,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\test\FinAccountTests.java,67,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\authorizedotnet\AIMPaymentServices.java,834,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\authorizedotnet\AIMRespPositions.java,54,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\authorizedotnet\AuthorizeResponse.java,140,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\authorizedotnet\CPRespPositions.java,54,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\clearcommerce\CCPaymentServices.java,954,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\clearcommerce\CCServicesTest.java,217,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\cybersource\IcsPaymentServices.java,703,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\eway\EwayServices.java,288,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\eway\GatewayConnector.java,116,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\eway\GatewayRequest.java,414,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\eway\GatewayResponse.java,208,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\gosoftware\PcChargeApi.java,233,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\gosoftware\PcChargeServices.java,451,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\gosoftware\RitaApi.java,276,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\gosoftware\RitaServices.java,556,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\ideal\IdealEvents.java,448,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\ideal\IdealPaymentServiceTest.java,230,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\orbital\OrbitalPaymentServices.java,657,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\paypal\PayPalEvents.java,530,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\paypal\PayPalServices.java,1077,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\sagepay\SagePayPaymentServices.java,513,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\sagepay\SagePayServices.java,679,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\sagepay\SagePayUtil.java,187,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\securepay\SecurePayPaymentServices.java,512,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\securepay\SecurePayServiceTest.java,259,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\valuelink\ValueLinkApi.java,1052,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\valuelink\ValueLinkServices.java,1561,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\verisign\PayflowPro.java,1176,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\thirdparty\worldpay\WorldPayEvents.java,531,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\util\UtilAccounting.java,292,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\AccountingException.java,49,0,0,0,0,0,0
applications\accounting\src\org\ofbiz\accounting\GlEvents.java,131,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\blog\BlogRssServices.java,146,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\cms\CmsEvents.java,420,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\compdoc\CompDocEvents.java,285,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\compdoc\CompDocServices.java,420,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentEvents.java,154,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentKeywordIndex.java,242,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentMapFacade.java,552,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentPermissionServices.java,338,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentSearch.java,928,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentSearchEvents.java,117,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentSearchSession.java,310,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentServices.java,1124,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentServicesComplex.java,361,0,0,0,0,0,0
applications\content\src\org\ofbiz\content\content\ContentUrlFilter.java,166,3,0,1,1,3,2
applications\content\src\org\ofbiz\content\content\ContentWorker.java,1695,1,0,11,1,13,9
applications\content\src\org\ofbiz\content\content\ContentWrapper.java,31,0,0,0,0,0,0
