class,SLOC
org.apache.olingo.commons.api.edm.constants.EdmContentKind,5
org.apache.olingo.client.api.edm.ConcurrencyMode,4
org.apache.olingo.client.core.edm.xml.v4.FunctionImportDeserializer,25
org.apache.olingo.client.core.edm.xml.AbstractEdmDeserializer,31
org.apache.olingo.client.core.edm.xml.v4.FunctionImportImpl,41
org.apache.olingo.client.core.edm.xml.v4.AnnotationImpl,27
org.apache.olingo.server.core.edm.provider.EdmProviderImplTest,142
org.apache.olingo.commons.api.ODataException,12
org.apache.olingo.commons.api.edm.EdmException,12
org.apache.olingo.commons.api.edm.FullQualifiedName,41
org.apache.olingo.server.api.edm.provider.AliasInfo,18
org.apache.olingo.server.api.edm.provider.ComplexType,32
org.apache.olingo.server.api.edm.provider.EdmProvider,51
org.apache.olingo.server.api.edm.provider.EntityContainerInfo,18
org.apache.olingo.server.api.edm.provider.EntityType,48
org.apache.olingo.server.api.edm.provider.EnumType,34
org.apache.olingo.server.api.edm.provider.PropertyRef,26
org.apache.olingo.server.api.edm.provider.TypeDefinition,50
org.apache.olingo.server.core.edm.provider.EdmProviderImpl,258
org.apache.olingo.client.core.uri.OrFilter,16
org.apache.olingo.commons.api.edm.geo.SRID,55
org.apache.olingo.client.core.communication.request.invoke.v4.ODataInvokeRequestImpl,16
org.apache.olingo.client.core.communication.request.invoke.AbstractODataInvokeRequest,125
org.apache.olingo.commons.api.format.ODataFormat,114
org.apache.olingo.commons.api.http.HttpMethod,8
org.apache.olingo.commons.api.data.ResWrap,19
org.apache.olingo.commons.api.serialization.ODataDeserializerException,12
org.apache.olingo.server.api.edm.provider.EnumMember,18
org.apache.olingo.client.core.communication.request.retrieve.AbstractODataRetrieveRequest,22
org.apache.olingo.client.core.communication.request.AbstractODataBasicRequest,43
org.apache.olingo.client.core.communication.response.AbstractODataResponse,163
org.apache.olingo.client.core.uri.AbstractFilterFactory,70
org.apache.olingo.commons.api.edm.constants.ODataServiceVersion,122
org.apache.olingo.client.core.uri.MatchFilter,10
org.apache.olingo.client.core.uri.EqFilter,9
org.apache.olingo.client.core.uri.NeFilter,9
org.apache.olingo.client.core.uri.GtFilter,9
org.apache.olingo.client.core.uri.GeFilter,9
