Class,same,uchangedLines,deleted,added,changed,all, differenceSection
ext\client-android\src\main\java\org\apache\olingo\client\core\android\http\AndroidHttpClientFactory.java,43,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\AnnotationsForNavigationProperty.java,34,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\AnnotationsForProperty.java,34,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\CollectionRef.java,34,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\ComplexType.java,42,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\CompoundKey.java,32,1,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\CompoundKeyElement.java,38,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\EntityContainer.java,37,0,1,0,0,1,1
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\EntitySet.java,39,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\EntityType.java,44,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\EnumType.java,40,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Key.java,34,1,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\KeyClass.java,39,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\KeyRef.java,34,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Namespace.java,36,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\NavigationProperty.java,44,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Operation.java,65,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Parameter.java,45,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Property.java,58,10,10,1,0,11,9
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\ReferentialConstraint.java,42,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\RowType.java,32,1,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Singleton.java,37,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\annotations\Term.java,40,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\AbstractEntityKey.java,55,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\AbstractEntitySet.java,109,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\AbstractOpenType.java,34,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\AbstractSingleton.java,26,1,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\AbstractTerm.java,24,1,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\Annotatable.java,36,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\CollectionQuery.java,40,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\CommonQuery.java,27,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\ComplexCollection.java,25,1,0,0,1,2,1
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\ComplexType.java,21,1,0,0,1,2,1
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\ComposableInvoker.java,24,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\EdmStreamValue.java,32,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\EntityCollection.java,40,0,0,0,1,2,1
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\EntitySet.java,59,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\EntityType.java,36,0,0,0,1,2,1
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\GenericCollection.java,41,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\Invoker.java,28,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\NonUniqueResultException.java,31,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\NoResultException.java,31,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\ODataFlushException.java,46,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\ODataResponseError.java,50,0,0,0,0,0,0
ext\client-proxy\src\main\java\org\apache\olingo\ext\proxy\api\Operations.java,22,1,0,0,0,0,0
