"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","11","","","29.2739837478923","3.73807914229781","","","","0.558130422062997","","","","0",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","17","29.2739837478923","","","2.23257958094171","","","","0.74448945534458","","","","0",""
"ComplexClass","65","3.73807914229781","","2.23257958094171","","","","","8.50733565408188","","","","0",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","172","0.558130422062997","","0.744489455344597","8.5073356540819","","","","","","","","0",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0","","0","0","","","","0","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
