"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.18879421898698,0.0664298414438567,-17.8954848174927,1.27879064114671e-71
"sloc",0.00238921928035132,0.000745686667128695,3.20405256748271,0.00135507732643558
"ClassDataShouldBePrivate",-33.5843832608808,8271269.9222711,-4.06036601108277e-06,0.999996760296649
"ComplexClass",-35.7564077074016,7395688.08744214,-4.83476416049994e-06,0.999996142416321
"LongParameterList",0.92280683176966,0.108495459586036,8.50548802033403,1.80833293877129e-17
"(Intercept)",-1.11558673618785,0.0661607065561046,-16.8617718016937,8.59726945447143e-64
"sloc",-0.000465621004371244,0.000845605220803253,-0.550636387898532,0.581882959347589
"LongParameterList",0.773651837019671,0.111773436226688,6.92160734372189,4.46547568927044e-12
"(Intercept)",-1.13451899713136,0.0567966842516253,-19.9750920688454,9.07164411481084e-89
"LongParameterList",0.757709144783571,0.108170044197643,7.00479647950517,2.47345117758763e-12
