"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.18155909450577,0.0663325460951858,-17.812660059969,5.63661874745107e-71
"sloc",0.00240309944679511,0.000741809192262025,3.23951155076315,0.0011973461673366
"AntiSingleton",-35.9911749810354,25364766.4160079,-1.41894367922589e-06,0.999998867846746
"ClassDataShouldBePrivate",-35.9323849587642,19372660.347705,-1.85479868607829e-06,0.999998520084765
"ComplexClass",-36.1764712887396,12682383.2080039,-2.85249788587908e-06,0.999997724035977
"LongParameterList",0.914774017597007,0.108494548552411,8.43152056764499,3.41202308420648e-17
"AntiSingleton:ClassDataShouldBePrivate",35.9821634431868,57188033.345897,6.29190432647888e-07,0.999999497978668
"AntiSingleton:ComplexClass",0.34571731964889,126711879.286044,2.72837339006278e-09,0.999999997823073
"AntiSingleton:LongParameterList",35.6149238284232,146970227.572183,2.42327472827319e-07,0.999999806650651
"ClassDataShouldBePrivate:ComplexClass",35.4967233135543,95601558.9167387,3.7129858253116e-07,0.999999703746594
"ClassDataShouldBePrivate:LongParameterList",-0.976653663584305,69849120.2257983,-1.39823330691513e-08,0.999999988843712
"ComplexClass:LongParameterList",-0.959165676284225,17126051.9794955,-5.60062340948519e-08,0.999999955313491
"(Intercept)",-1.11558673618785,0.0661607065561046,-16.8617718016937,8.59726945447143e-64
"sloc",-0.000465621004371244,0.000845605220803253,-0.550636387898532,0.581882959347589
"LongParameterList",0.773651837019671,0.111773436226688,6.92160734372189,4.46547568927044e-12
"(Intercept)",-1.13451899713136,0.0567966842516253,-19.9750920688454,9.07164411481084e-89
"LongParameterList",0.757709144783571,0.108170044197643,7.00479647950517,2.47345117758763e-12
