Class,same,uchangedLines,deleted,added,changed,all, differenceSection
client\src\main\java\org\apache\oozie\cli\CLIParser.java,168,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\cli\OozieCLI.java,1710,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\cli\OozieCLIException.java,32,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\jms\JMSHeaderConstants.java,34,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\jms\JMSMessagingUtils.java,95,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\jms\JSONMessageDeserializer.java,45,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\jms\MessageDeserializer.java,85,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\message\CoordinatorActionMessage.java,161,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\message\EventMessage.java,103,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\message\JobMessage.java,251,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\message\SLAMessage.java,381,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\message\WorkflowJobMessage.java,119,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\Event.java,55,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\JobEvent.java,149,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\event\SLAEvent.java,202,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\rest\JsonTags.java,225,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\rest\JsonToBean.java,467,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\rest\JsonUtils.java,84,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\rest\RestConstants.java,160,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\AuthOozieClient.java,289,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\BulkResponse.java,46,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\BundleJob.java,70,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\CoordinatorAction.java,164,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\CoordinatorJob.java,191,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\JMSConnectionInfo.java,49,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\JMSConnectionInfoWrapper.java,45,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\Job.java,142,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\OozieClient.java,1615,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\OozieClientException.java,85,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\SLAEvent.java,86,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\WorkflowAction.java,198,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\WorkflowJob.java,159,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\client\XOozieClient.java,307,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\AppType.java,25,0,0,0,0,0,0
client\src\main\java\org\apache\oozie\BuildInfo.java,61,0,0,0,0,0,0
client\src\test\java\org\apache\oozie\cli\TestCLIParser.java,114,0,0,0,0,0,0
client\src\test\java\org\apache\oozie\cli\TestOozieCLIMethods.java,554,0,0,0,0,0,0
client\src\test\java\org\apache\oozie\cli\TestValidation.java,44,0,0,0,0,0,0
client\src\test\java\org\apache\oozie\client\rest\TestJsonToBean.java,440,0,0,0,0,0,0
client\src\test\java\org\apache\oozie\client\rest\TestJsonUtils.java,69,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\ControlNodeActionExecutor.java,69,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\EndActionExecutor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\ForkActionExecutor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\JoinActionExecutor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\KillActionExecutor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\control\StartActionExecutor.java,30,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\decision\DecisionActionExecutor.java,98,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\email\EmailActionExecutor.java,231,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\CredentialException.java,46,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\Credentials.java,38,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\CredentialsProperties.java,86,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\CredentialsProvider.java,91,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\DistcpActionExecutor.java,99,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\FsActionExecutor.java,555,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\FsELFunctions.java,159,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\HadoopELFunctions.java,70,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\HbaseCredentials.java,90,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\HCatCredentialHelper.java,90,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\HCatCredentials.java,65,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\HiveActionExecutor.java,157,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\JavaActionExecutor.java,1269,0,0,0,1,2,1
core\src\main\java\org\apache\oozie\action\hadoop\LauncherMapperHelper.java,274,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\MapReduceActionExecutor.java,334,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\PigActionExecutor.java,194,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\ScriptLanguageActionExecutor.java,91,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\ShellActionExecutor.java,163,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\hadoop\SqoopActionExecutor.java,269,0,0,0,0,0,0
core\src\main\java\org\apache\oozie\action\oozie\SubWorkflowActionExecutor.java,245,0,0,0,0,0,0
