class,SLOC
org.apache.openjpa.persistence.jdbc.schema.TestClassSequenceFactory,114
org.apache.openjpa.jdbc.conf.JDBCConfigurationImpl,708
org.apache.openjpa.jdbc.kernel.ClassTableJDBCSeq,146
org.apache.openjpa.jdbc.meta.ClassMapping,642
org.apache.openjpa.persistence.jdbc.common.apps.SeqA,2
org.apache.openjpa.persistence.jdbc.common.apps.SeqB,2
org.apache.openjpa.persistence.jdbc.common.apps.SeqC,2
org.apache.openjpa.persistence.jdbc.kernel.BaseJDBCTest,93
org.apache.openjpa.enhance.ids.Device,30
org.apache.openjpa.enhance.ids.DeviceId,37
org.apache.openjpa.persistence.datacache.TestJPQLRelationProjections,145
org.apache.openjpa.persistence.datacache.common.apps.CacheObjectAChild1,15
org.apache.openjpa.persistence.datacache.common.apps.CacheObjectE,14
org.apache.openjpa.persistence.datacache.common.apps.CacheObjectJ,20
org.apache.openjpa.persistence.datacache.common.apps.SelfReferencingCacheTestObject,18
org.apache.openjpa.persistence.common.utils.AbstractTestCase,747
org.apache.openjpa.kernel.jpql.JPQLParser,40
org.apache.openjpa.persistence.JPAFacadeHelper,216
org.apache.openjpa.util.UserException,29
org.apache.openjpa.persistence.datacache.CacheTestBroker,29
org.apache.openjpa.kernel.BrokerImpl,3837
org.apache.openjpa.persistence.datacache.CacheTestHelper,63
org.apache.openjpa.util.OpenJPAException,90
org.apache.openjpa.persistence.jpql.expressions.TestJPQLScalarExpressions,316
org.apache.openjpa.jdbc.sql.DBDictionary,3529
org.apache.openjpa.jdbc.sql.SybaseDictionary,299
org.apache.openjpa.persistence.common.apps.CompUser,87
org.apache.openjpa.persistence.common.apps.Address,55
org.apache.openjpa.persistence.common.apps.MaleUser,8
org.apache.openjpa.persistence.common.apps.FemaleUser,8
demo.Actor,52
demo.Movie,33
org.apache.openjpa.persistence.meta.SourceAnnotationHandler,454
org.apache.openjpa.lib.util.Localizer,141
org.apache.openjpa.meta.AccessCode,148
org.apache.openjpa.persistence.meta.CompileTimeLogger,49
org.apache.openjpa.persistence.datacache.common.apps.CacheObjectF,8
org.apache.openjpa.persistence.delimited.identifiers.Dog2,6
org.apache.openjpa.persistence.delimited.identifiers.Animal2,28
org.apache.openjpa.persistence.embed.JobInfo,17
org.apache.openjpa.persistence.embed.ProgramManager,18
jpa.tools.swing.EntityTable,103
jpa.tools.swing.EntityDataModel,155
org.apache.openjpa.persistence.detachment.TestDetachmentOneMany,80
org.apache.openjpa.persistence.OpenJPAPersistence,129
org.apache.openjpa.persistence.AutoDetachType,31
org.apache.openjpa.persistence.test.SingleEMFTestCase,110
org.apache.openjpa.persistence.detachment.DetachmentOneManyChild,27
org.apache.openjpa.persistence.detachment.DetachmentOneManyParent,29
org.apache.openjpa.persistence.jdbc.common.apps.mappingApp.EntityWithCompositeId,35
org.apache.openjpa.persistence.jdbc.common.apps.mappingApp.CompositeId,51
org.apache.openjpa.persistence.lockmgr.TestLocking,65
org.apache.openjpa.persistence.test.SQLListenerTestCase,156
org.apache.openjpa.persistence.lockmgr.Person,51
org.apache.openjpa.persistence.lockmgr.PhoneNumber,19
org.apache.openjpa.persistence.compat.EntityA,11
org.apache.openjpa.persistence.compat.MappedSuper,35
org.apache.openjpa.persistence.enhance.common.apps.Entity1,46
org.apache.openjpa.persistence.enhance.common.apps.Entity2,36
org.apache.openjpa.persistence.criteria.results.Shop,25
org.apache.openjpa.persistence.criteria.results.Order,44
org.apache.openjpa.persistence.jdbc.FetchMode,46
org.apache.openjpa.persistence.query.MinExpression,5
org.apache.openjpa.persistence.query.UnaryOperatorExpression,24
org.apache.openjpa.persistence.query.UnaryFunctionalOperator,32
org.apache.openjpa.jdbc.meta.JavaSQLTypes,114
org.apache.openjpa.meta.JavaTypes,339
org.apache.openjpa.kernel.exps.Context,136
org.apache.openjpa.meta.ClassMetaData,1774
org.apache.openjpa.kernel.jpql.JPQLExpressionBuilder,1728
org.apache.openjpa.integration.validation.TestTraversableResolver,163
org.apache.openjpa.lib.util.J2DoPrivHelper,535
org.apache.openjpa.persistence.validation.TraversableResolverImpl,18
org.apache.openjpa.integration.validation.Book,39
org.apache.openjpa.integration.validation.Publisher,19
org.apache.openjpa.persistence.jdbc.annotations.PointHandler,30
org.apache.openjpa.jdbc.meta.strats.AbstractValueHandler,24
org.apache.openjpa.jdbc.schema.Column,573
org.apache.openjpa.jdbc.schema.ColumnIO,148
org.apache.openjpa.persistence.jdbc.annotations.TestOneToMany,67
org.apache.openjpa.persistence.jdbc.annotations.AnnoTest2,106
org.apache.openjpa.persistence.jdbc.annotations.AnnoTest1,208
org.apache.openjpa.persistence.jdbc.annotations.Flat1,30
org.apache.openjpa.kernel.ResultShape,180
org.apache.openjpa.persistence.kernel.TestProxies2,288
org.apache.openjpa.persistence.kernel.common.apps.ProxiesPC,93
org.apache.openjpa.persistence.kernel.BaseKernelTest,67
org.apache.openjpa.kernel.UUIDHexSeq,23
org.apache.openjpa.lib.util.UUIDGenerator,126
org.apache.openjpa.persistence.datacache.MapEmbeddable,16
org.apache.openjpa.persistence.query.common.apps.QueryTest2,49
org.apache.openjpa.persistence.query.common.apps.QueryTest1,74
org.apache.openjpa.persistence.inheritance.entities.idmsc.jointable.intdiscriminator.PIdJTIDMSCEntityD,10
org.apache.openjpa.persistence.inheritance.entities.idmsc.jointable.intdiscriminator.PIdJTIDMSCMappedSuperclass,10
org.apache.openjpa.jdbc.meta.strats.SuperclassDiscriminatorStrategy,35
org.apache.openjpa.jdbc.sql.SQLBuffer,393
org.apache.openjpa.jdbc.meta.strats.AbstractDiscriminatorStrategy,36
org.apache.openjpa.jdbc.meta.Discriminator,245
org.apache.openjpa.jdbc.meta.strats.ValueMapDiscriminatorStrategy,69
org.apache.openjpa.jdbc.meta.DiscriminatorMappingInfo,81
org.apache.openjpa.persistence.inheritance.entity.Employee,59
org.apache.openjpa.persistence.inheritance.entity.Department,38
org.apache.openjpa.persistence.inheritance.entity.Manager,11
org.apache.openjpa.persistence.jdbc.ForeignKeyAction,6
org.apache.openjpa.jdbc.kernel.exps.AndExpression,44
org.apache.openjpa.jdbc.kernel.exps.BinaryOpExpState,12
org.apache.openjpa.jdbc.kernel.exps.ExpContext,15
org.apache.openjpa.jdbc.kernel.exps.ExpState,9
org.apache.openjpa.jdbc.kernel.exps.OrExpression,54
org.apache.openjpa.persistence.inheritance.mappedsuperclass.ValuableItemDA,11
org.apache.openjpa.persistence.inheritance.mappedsuperclass.CashBaseEntity,40
org.apache.openjpa.persistence.relations.TestHandlerCollections,19
org.apache.openjpa.jdbc.meta.strats.HandlerCollectionTableFieldStrategy,208
org.apache.openjpa.persistence.test.SingleEMTestCase,84
org.apache.openjpa.persistence.relations.HandlerCollectionInstance,9
