Class,same,uchangedLines,deleted,added,changed,all, differenceSection
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Command.java,43,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Demo.java,430,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Dump.java,129,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Filereceiver.java,343,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Filesender.java,279,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Receive.java,246,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Request.java,234,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Respond.java,342,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Send.java,235,0,0,0,0,0,0
amqp-1-0-client\example\src\main\java\org\apache\qpid\amqp_1_0\client\Util.java,531,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\AcknowledgeMode.java,28,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\ChannelsExhaustedException.java,39,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Connection.java,393,3,0,23,4,31,7
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\ConnectionClosedException.java,31,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\ConnectionErrorException.java,45,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\ConnectionException.java,39,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\LinkDetachedException.java,40,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Message.java,142,28,4,151,1,157,26
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Receiver.java,640,6,3,20,5,33,10
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Sender.java,552,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Session.java,462,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\SSLOptions.java,0,29,0,50,0,50,10
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\SSLUtil.java,205,9,7,68,3,81,13
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TCPTransportProvider.java,0,61,0,212,0,212,33
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TCPTransportProviderFactory.java,38,0,0,0,1,2,1
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TCPTransportProvier.java,0,60,186,0,0,186,32
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\Transaction.java,49,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TransactionController.java,221,0,0,0,0,0,0
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TransportProvider.java,37,0,0,1,0,1,1
amqp-1-0-client\src\main\java\org\apache\qpid\amqp_1_0\client\TransportProviderFactory.java,29,0,0,0,0,0,0
amqp-1-0-client-jms\example\src\main\java\org\apache\qpid\amqp_1_0\jms\example\Hello.java,121,0,0,0,0,0,0
