class,SLOC
org.apache.fontbox.cff.encoding.CFFStandardEncoding,269
org.apache.fontbox.cff.encoding.CFFEncoding,63
org.apache.pdfbox.examples.documentmanipulation.SuperimposePage,40
org.apache.pdfbox.pdmodel.PDDocument,835
org.apache.pdfbox.pdmodel.PDPage,488
org.apache.pdfbox.pdmodel.common.PDRectangle,117
org.apache.pdfbox.pdmodel.edit.PDPageContentStream,872
org.apache.pdfbox.pdmodel.font.PDFont,496
org.apache.pdfbox.pdmodel.font.PDType1Font,342
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectForm,92
org.apache.pdfbox.util.LayerUtility,185
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject,104
org.apache.pdfbox.pdmodel.common.PDStream,312
org.apache.pdfbox.pdmodel.graphics.color.PDPattern,30
org.apache.pdfbox.cos.COSArray,267
org.apache.pdfbox.cos.COSName,478
org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace,23
org.apache.pdfbox.util.operator.pagedrawer.CloseFillNonZeroAndStrokePath,8
org.apache.pdfbox.cos.COSBase,34
org.apache.pdfbox.util.PDFOperator,60
org.apache.pdfbox.util.operator.OperatorProcessor,16
org.apache.pdfbox.util.PDFStreamEngine,382
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN,127
org.apache.pdfbox.cos.COSDictionary,589
org.apache.pdfbox.cos.COSNull,16
org.apache.pdfbox.pdmodel.common.COSArrayList,409
org.apache.pdfbox.pdmodel.common.function.PDFunction,178
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNAttributes,41
org.apache.pdfbox.pdmodel.graphics.color.PDColorSpaceFactory,167
org.apache.pdfbox.pdmodel.interactive.action.type.PDActionRemoteGoTo,53
org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification,25
org.apache.pdfbox.pdmodel.interactive.action.type.PDAction,63
org.apache.pdfbox.util.TextPositionComparator,50
org.apache.pdfbox.util.TextPosition,441
org.apache.pdfbox.pdmodel.TestPDDocumentInformation,35
org.apache.pdfbox.pdmodel.PDDocumentInformation,116
org.apache.pdfbox.examples.pdmodel.EmbeddedFiles,75
org.apache.pdfbox.exceptions.COSVisitorException,7
org.apache.pdfbox.pdmodel.PDDocumentNameDictionary,79
org.apache.pdfbox.pdmodel.PDEmbeddedFilesNameTreeNode,19
org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification,243
org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile,131
org.apache.pdfbox.pdmodel.common.PDNameTreeNode,238
org.apache.pdfbox.pdmodel.PDDocumentCatalog,310
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValueTimeStamp,38
org.apache.pdfbox.pdmodel.graphics.xobject.PDCcittTest,86
org.apache.pdfbox.io.RandomAccessFile,39
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceGray,38
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage,276
org.apache.pdfbox.pdmodel.graphics.xobject.PDCcitt,560
org.apache.pdfbox.pdmodel.graphics.xobject.PDJpegTest,200
org.apache.pdfbox.pdmodel.graphics.xobject.PDUtils,71
org.apache.xmpbox.type.IntegerType,32
org.apache.xmpbox.XMPMetadata,230
org.apache.xmpbox.type.AbstractSimpleProperty,31
org.apache.pdfbox.Encrypt,169
org.apache.pdfbox.pdmodel.encryption.AccessPermission,207
org.apache.pdfbox.pdmodel.encryption.PublicKeyProtectionPolicy,33
org.apache.pdfbox.pdmodel.encryption.PublicKeyRecipient,21
org.apache.pdfbox.pdmodel.encryption.StandardProtectionPolicy,36
org.apache.pdfbox.pdmodel.encryption.ProtectionPolicy,17
org.apache.xmpbox.schema.AbstractSchemaTester,143
org.apache.xmpbox.type.ArrayProperty,39
org.apache.xmpbox.type.Cardinality,13
org.apache.xmpbox.type.TypeMapping,338
org.apache.xmpbox.type.TypeTestingHelper,94
org.apache.xmpbox.type.Types,49
org.apache.xmpbox.xml.DomXmpParser,679
org.apache.xmpbox.schema.XMPSchema,792
org.apache.xmpbox.type.AbstractComplexProperty,61
org.apache.xmpbox.type.AbstractField,60
org.apache.xmpbox.type.AbstractStructuredType,105
org.apache.xmpbox.type.ComplexPropertyContainer,100
org.apache.pdfbox.pdmodel.text.PDTextState,103
org.apache.pdfbox.examples.fdf.PrintFields,101
org.apache.pdfbox.exceptions.CryptographyException,21
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm,221
org.apache.pdfbox.pdmodel.interactive.form.PDField,348
org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField,86
org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceCalRGB,62
org.apache.pdfbox.pdmodel.common.PDMatrix,42
org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus,51
org.apache.pdfbox.pdmodel.graphics.color.PDGamma,47
org.apache.pdfbox.preflight.utils.ByteArrayDataSource,37
org.apache.pdfbox.filter.FilterManager,54
org.apache.pdfbox.filter.FlateFilter,104
org.apache.pdfbox.filter.CCITTFaxDecodeFilter,79
org.apache.pdfbox.filter.LZWFilter,239
org.apache.pdfbox.filter.ASCIIHexFilter,168
org.apache.pdfbox.filter.ASCII85Filter,39
org.apache.pdfbox.filter.RunLengthDecodeFilter,41
org.apache.pdfbox.filter.CryptFilter,31
org.apache.pdfbox.filter.JPXFilter,49
org.apache.pdfbox.filter.JBIG2Filter,67
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner,203
org.apache.pdfbox.preflight.metadata.XpacketParsingException,22
org.apache.pdfbox.preflight.ValidationResult,204
org.apache.jempbox.xmp.XMPMetadata,352
org.apache.jempbox.impl.XMLUtil,244
org.apache.jempbox.xmp.XMPSchemaBasicJobTicket,11
org.apache.jempbox.xmp.XMPSchemaBasic,138
org.apache.jempbox.xmp.XMPSchemaDublinCore,195
org.apache.jempbox.xmp.XMPSchemaDynamicMedia,11
org.apache.jempbox.xmp.XMPSchemaIptc4xmpCore,115
org.apache.jempbox.xmp.XMPSchemaMediaManagement,114
org.apache.jempbox.xmp.XMPSchemaPDF,35
org.apache.jempbox.xmp.XMPSchemaPagedText,11
org.apache.jempbox.xmp.XMPSchemaPhotoshop,138
org.apache.jempbox.xmp.XMPSchemaRightsManagement,76
org.apache.jempbox.xmp.XMPSchema,702
org.apache.jempbox.xmp.Thumbnail,52
org.apache.jempbox.xmp.ResourceEvent,112
org.apache.fontbox.util.ResourceLoader,73
org.apache.jempbox.xmp.ResourceRef,90
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationSquareCircle,88
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup,121
org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderEffectDictionary,38
org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderStyleDictionary,61
org.apache.pdfbox.filter.TestFilters,95
org.apache.pdfbox.filter.DCTFilter,14
org.apache.fontbox.ttf.CMAPEncodingEntry,369
org.apache.fontbox.ttf.TTFDataStream,102
org.apache.fontbox.ttf.CMAPTable,40
org.apache.fontbox.ttf.TTFTable,47
org.apache.fontbox.ttf.TestMemoryTTFDataStream,29
org.apache.fontbox.ttf.MemoryTTFDataStream,101
org.apache.pdfbox.preflight.parser.TestPreflightConfiguration,38
org.apache.pdfbox.preflight.PreflightConfiguration,163
org.apache.pdfbox.preflight.PreflightContext,109
org.apache.pdfbox.preflight.exception.MissingValidationProcessException,13
org.apache.pdfbox.preflight.exception.ValidationException,18
org.apache.pdfbox.pdfparser.NonSequentialPDFParser,1426
org.apache.pdfbox.cos.COSDocument,391
