Class,same,uchangedLines,deleted,added,changed,all, differenceSection
phoenix-core\src\it\java\org\apache\hadoop\hbase\regionserver\wal\ReadWriteKeyValuesWithCodecIT.java,184,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\hadoop\hbase\regionserver\wal\WALReplayWithIndexWritesAndCompressedWALIT.java,303,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\hadoop\hbase\regionserver\wal\WALReplayWithIndexWritesAndUncompressedWALInHBase_094_9_IT.java,45,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\BaseMutableIndexIT.java,1170,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\DropIndexDuringUpsertIT.java,179,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\DropViewIT.java,104,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\GlobalIndexOptimizationIT.java,469,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\GlobalMutableIndexIT.java,26,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\ImmutableIndexIT.java,444,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\ImmutableIndexWithStatsIT.java,0,30,0,59,0,59,13
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\IndexExpressionIT.java,1223,48,2,73,2,79,16
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\IndexHandlerIT.java,160,0,1,1,5,12,6
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\IndexMetadataIT.java,473,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\IndexTestUtil.java,167,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\LocalIndexIT.java,1015,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\LocalMutableIndexIT.java,26,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\MutableIndexFailureIT.java,394,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\MutableIndexReplicationIT.java,294,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\SaltedIndexIT.java,216,0,0,0,0,0,0
phoenix-core\src\it\java\org\apache\phoenix\end2end\index\ViewIndexIT.java,89,0,0,0,0,0,0
