class,SLOC
org.apache.pig.pen.util.ExampleTuple,75
org.apache.pig.backend.executionengine.ExecException,43
org.apache.pig.data.AbstractTuple,30
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.MRIntermediateDataVisitor,37
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper,319
org.apache.pig.backend.hadoop.executionengine.physicalLayer.PhysicalOperator,273
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PhyPlanVisitor,159
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PhysicalPlan,184
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POStore,178
org.apache.pig.impl.plan.DepthFirstWalker,28
org.apache.pig.impl.plan.VisitorException,56
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.MROpPlanVisitor,7
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.MROperPlan,18
org.apache.pig.impl.plan.OperatorPlan,910
org.apache.pig.impl.io.FileSpec,39
org.apache.pig.test.TestJoin,590
org.apache.pig.ExecType,17
org.apache.pig.PigException,159
org.apache.pig.PigServer,988
org.apache.pig.data.BagFactory,51
org.apache.pig.data.DataByteArray,101
org.apache.pig.data.TupleFactory,68
org.apache.pig.impl.io.FileLocalizer,524
org.apache.pig.impl.logicalLayer.schema.Schema,1174
org.apache.pig.impl.util.LogUtils,161
org.apache.pig.impl.util.Utils,190
org.apache.pig.newplan.Operator,39
org.apache.pig.newplan.logical.relational.LOJoin,145
org.apache.pig.newplan.logical.relational.LogicalPlan,60
org.apache.pig.parser.ParserException,20
org.apache.pig.builtin.mock.Storage,350
org.apache.pig.test.MiniCluster,45
org.apache.pig.test.MiniGenericCluster,61
org.apache.pig.test.Util,791
org.apache.pig.newplan.BaseOperatorPlan,295
org.apache.pig.test.utils.GenRandomData,341
org.apache.pig.ResourceSchema,269
org.apache.pig.data.DataType,1163
org.apache.pig.data.DefaultBagFactory,25
org.apache.pig.data.DefaultTuple,370
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners.SecondaryKeyPartitioner,24
org.apache.pig.backend.hadoop.HDataType,223
org.apache.pig.impl.io.PigNullableWritable,73
org.apache.pig.builtin.IntMax,17
org.apache.pig.builtin.AlgebraicIntMathBase,114
org.apache.pig.scripting.jruby.JrubyEvalFunc,57
org.apache.pig.EvalFunc,115
org.apache.pig.scripting.jruby.RubySchema,436
org.apache.pig.scripting.jruby.JrubyScriptEngine,151
org.apache.pig.scripting.jruby.PigJrubyLibrary,185
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.PORelationToExprProject,51
org.apache.pig.backend.hadoop.executionengine.physicalLayer.POStatus,9
org.apache.pig.backend.hadoop.executionengine.physicalLayer.Result,17
org.apache.pig.data.NonSpillableDataBag,145
org.apache.pig.impl.plan.NodeIdGenerator,22
org.apache.pig.impl.plan.OperatorKey,54
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.POProject,428
org.apache.pig.newplan.DepthFirstWalker,28
org.apache.pig.impl.logicalLayer.FrontendException,69
org.apache.pig.newplan.PlanWalker,14
org.apache.pig.newplan.PlanVisitor,27
org.apache.pig.builtin.DoubleBase,19
org.apache.pig.FuncSpec,141
org.apache.pig.builtin.Base,6
org.apache.pig.pen.AugmentBaseDataVisitor,977
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POLimit,110
org.apache.pig.impl.util.MultiMap,100
org.apache.pig.newplan.logical.expression.AddExpression,40
org.apache.pig.newplan.logical.expression.AndExpression,40
org.apache.pig.newplan.logical.expression.BinaryExpression,17
org.apache.pig.newplan.logical.expression.CastExpression,61
org.apache.pig.newplan.logical.expression.ConstantExpression,54
org.apache.pig.newplan.logical.expression.DivideExpression,40
org.apache.pig.newplan.logical.expression.EqualExpression,42
org.apache.pig.newplan.logical.expression.GreaterThanEqualExpression,40
org.apache.pig.newplan.logical.expression.GreaterThanExpression,40
org.apache.pig.newplan.logical.expression.IsNullExpression,37
org.apache.pig.newplan.logical.expression.LessThanEqualExpression,40
org.apache.pig.newplan.logical.expression.LessThanExpression,40
org.apache.pig.newplan.logical.expression.LogicalExpression,48
org.apache.pig.newplan.logical.expression.LogicalExpressionPlan,53
org.apache.pig.newplan.logical.expression.ModExpression,40
org.apache.pig.newplan.logical.expression.MultiplyExpression,40
org.apache.pig.newplan.logical.expression.NotEqualExpression,40
org.apache.pig.newplan.logical.expression.NotExpression,37
org.apache.pig.newplan.logical.expression.OrExpression,40
org.apache.pig.newplan.logical.expression.ProjectExpression,367
org.apache.pig.newplan.logical.expression.RegexExpression,40
org.apache.pig.newplan.logical.expression.SubtractExpression,40
org.apache.pig.newplan.logical.expression.UserFuncExpression,279
org.apache.pig.newplan.logical.relational.LOCogroup,204
org.apache.pig.newplan.logical.relational.LOCross,68
org.apache.pig.newplan.logical.relational.LODistinct,33
org.apache.pig.newplan.logical.relational.LOFilter,57
org.apache.pig.newplan.logical.relational.LOForEach,99
org.apache.pig.newplan.logical.relational.LOLimit,58
org.apache.pig.newplan.logical.relational.LOLoad,186
org.apache.pig.newplan.logical.relational.LOSort,161
org.apache.pig.newplan.logical.relational.LOSplit,29
org.apache.pig.newplan.logical.relational.LOStore,72
org.apache.pig.newplan.logical.relational.LOUnion,153
org.apache.pig.newplan.logical.relational.LogicalRelationalNodesVisitor,49
org.apache.pig.newplan.logical.relational.LogicalRelationalOperator,103
org.apache.pig.newplan.logical.relational.LogicalSchema,656
org.apache.pig.pen.util.PreOrderDepthFirstWalker,34
org.apache.pig.newplan.logical.expression.UnaryExpression,16
org.apache.pig.parser.SourceLocation,58
org.apache.pig.builtin.MAX,29
org.apache.pig.builtin.AlgebraicByteArrayMathBase,152
org.apache.pig.builtin.DoubleMax,17
org.apache.pig.builtin.FloatMax,17
org.apache.pig.builtin.LongMax,17
org.apache.pig.builtin.StringMax,127
org.apache.pig.builtin.DateTimeMax,127
org.apache.pig.data.BinInterSedes,1146
org.apache.pig.classification.InterfaceAudience,8
org.apache.pig.classification.InterfaceStability,8
org.apache.pig.data.utils.SedesHelper,203
org.apache.pig.impl.util.ObjectSerializer,34
org.apache.pig.data.InternalMap,9
org.apache.pig.data.SchemaTupleFactory,53
org.apache.pig.data.BinSedesTuple,28
org.apache.pig.data.InterSedesFactory,9
org.apache.hadoop.zebra.pig.comparator.ExprUtils,46
org.apache.hadoop.zebra.pig.comparator.ComparatorExpr,5
org.apache.hadoop.zebra.pig.comparator.BagExpr,58
org.apache.hadoop.zebra.pig.comparator.BooleanExpr,16
org.apache.hadoop.zebra.pig.comparator.ByteExpr,17
org.apache.hadoop.zebra.pig.comparator.BytesExpr,18
org.apache.hadoop.zebra.pig.comparator.StringExpr,23
org.apache.hadoop.zebra.pig.comparator.DoubleExpr,30
org.apache.hadoop.zebra.pig.comparator.FloatExpr,26
org.apache.hadoop.zebra.pig.comparator.IntExpr,20
org.apache.hadoop.zebra.pig.comparator.LongExpr,24
org.apache.hadoop.zebra.pig.comparator.DateTimeExpr,29
org.apache.hadoop.zebra.pig.comparator.NegateExpr,27
org.apache.hadoop.zebra.pig.comparator.TupleExpr,60
org.apache.pig.impl.util.HashOutputStream,13
org.apache.pig.newplan.logical.DotLOPrinter,102
org.apache.pig.newplan.logical.optimizer.LogicalPlanPrinter,156
org.apache.pig.newplan.DotPlanDumper,255
org.apache.pig.tools.pigstats.PigStats,146
org.apache.pig.impl.util.SpillableMemoryManager,195
org.apache.pig.PigRunner,17
org.apache.pig.tools.pigstats.JobStats,453
org.apache.pig.tools.pigstats.SimplePigStats,444
org.apache.pig.tools.pigstats.OutputStats,128
org.apache.pig.tools.pigstats.ScriptState,659
org.apache.pig.tools.pigstats.InputStats,84
org.apache.pig.builtin.AlgebraicMathBase,75
org.apache.pig.builtin.TOTUPLE,20
org.apache.hadoop.zebra.tfile.MetaBlockDoesNotExist,5
org.apache.pig.impl.io.NullableUnknownWritable,11
org.apache.pig.impl.util.avro.AvroBagWrapper,52
org.apache.pig.impl.util.avro.AvroTupleWrapper,201
org.apache.pig.test.TestLTOrEqual,352
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.ConstantExpression,116
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.LTOrEqualToExpr,78
org.apache.pig.test.utils.GenPhyOp,591
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.BinaryExpressionOperator,45
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.BinaryComparisonOperator,27
org.apache.hadoop.zebra.mapred.ArticleGenerator,73
org.apache.hadoop.zebra.tfile.RandomDistribution,133
org.apache.hadoop.zebra.mapred.Dictionary,55
org.apache.hadoop.zebra.io.TestMixedType1,210
org.apache.hadoop.zebra.io.BasicTable,1421
org.apache.hadoop.zebra.types.Projection,134
org.apache.hadoop.zebra.schema.Schema,654
org.apache.hadoop.zebra.types.TypesUtils,186
org.apache.pig.impl.io.ReadToEndLoader,178
org.apache.pig.Expression,86
org.apache.pig.LoadFunc,110
org.apache.pig.ResourceStatistics,160
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSplit,206
org.apache.pig.backend.hadoop.executionengine.shims.HadoopShims,54
org.apache.pig.data.SchemaTupleBackend,159
org.apache.pig.impl.PigContext,562
org.apache.pig.piggybank.evaluation.string.HashFNV,43
org.apache.pig.piggybank.evaluation.string.HashFNV1,15
org.apache.pig.piggybank.evaluation.string.HashFNV2,25
org.apache.pig.piggybank.evaluation.util.ToBag,19
org.apache.pig.PigWarning,48
org.apache.pig.data.SingleTupleBag,98
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.ExpressionOperator,75
org.apache.hadoop.zebra.tfile.Chunk,232
org.apache.hadoop.zebra.tfile.Utils,241
org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.NotEqualToExpr,91
