ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.hadoop.zebra.io.BasicTableStatus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,contrib\zebra\src\java\org\apache\hadoop\zebra\io\BasicTableStatus.java,0,0,0,0
org.apache.hadoop.zebra.io.IOutils, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,contrib\zebra\src\java\org\apache\hadoop\zebra\io\IOutils.java,0,0,0,0
org.apache.hadoop.zebra.io.MetaFile, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,contrib\zebra\src\java\org\apache\hadoop\zebra\io\MetaFile.java,0,0,0,0
org.apache.hadoop.zebra.io.TableInserter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,contrib\zebra\src\java\org\apache\hadoop\zebra\io\TableInserter.java,0,0,0,0
org.apache.hadoop.zebra.io.TableScanner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,contrib\zebra\src\java\org\apache\hadoop\zebra\io\TableScanner.java,0,0,0,0
org.apache.hadoop.zebra.io.TestBasicTableProjections, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestBasicTableProjections.java,0,0,0,0
org.apache.hadoop.zebra.io.TestCheckin, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestCheckin.java,0,0,0,0
org.apache.hadoop.zebra.io.TestCollection, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,572,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestCollection.java,0,0,0,0
org.apache.hadoop.zebra.io.TestColumnGroupName1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestColumnGroupName1.java,0,0,0,0
org.apache.hadoop.zebra.io.TestColumnGroupName2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestColumnGroupName2.java,0,0,0,0
org.apache.hadoop.zebra.io.TestColumnGroupName3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestColumnGroupName3.java,0,0,0,0
org.apache.hadoop.zebra.io.TestColumnGroupName4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57,contrib\zebra\src\test\org\apache\hadoop\zebra\io\TestColumnGroupName4.java,0,0,0,0
