"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","101.731840866285","3.57824656800744","","0","","0","","","","0",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","15","101.731840866291","","","1.01811754392684","","0","","0","","","","0",""
"ComplexClass","135","3.57824656800683","","1.01811754392656","","","0","","8.01927842095571","","","","0",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","55","0","","0","0","","","","0","","","","0",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","20","0","","0","8.01927842095603","","0","","","","","","0",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0","","0","0","","0","","0","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
