"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","2054","","","0.00775197381559979","0.220882556966966","","0.01030293722862","","0.0237377391960287","","","","5.30844250415818e-05",""
"Blob_0","2059","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","2044","0.00343737033855193","","","0.221541027359215","","0.0104581794431855","","0.0237868941031009","","","","5.33441335789672e-05",""
"ComplexClass_0","1924","0.00328354078354078","","0.00807170471633091","","","0.0101401006474808","","0.0222016128388613","","","","5.66712105173644e-05",""
"LargeClass_0","2059","","","","","","","","","","","","",""
"LazyClass_0","2004","0.00296539502927486","","0.00794538633594908","0.223541425003805","","","","0.0235131794145401","","","","5.44088867442161e-05",""
"LongMethod_0","2059","","","","","","","","","","","","",""
"LongParameterList_0","2039","0.00338338525186917","","0.00777543663718235","0.220574632830363","","0.0101685442074616","","","","","","5.34749431267332e-05",""
"MessageChains_0","2059","","","","","","","","","","","","",""
"RefusedParentBequest_0","2059","","","","","","","","","","","","",""
"SpaghettiCode_0","2059","","","","","","","","","","","","",""
"SpeculativeGenerality_0","2058","0.0034139868668611","","0.00773690681109911","0.221069304739069","","0.0103870353653407","","0.0238680328215444","","","","",""
"SwissArmyKnife_0","2059","","","","","","","","","","","","",""
"AntiSingleton_1","5","","","0","0.253571428571429","","0.0428571428571429","","0.0726190476190476","","","","0",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","15","0","","","0.142051282051282","","0","","0.0333333333333333","","","","0",""
"ComplexClass_1","135","0.00524779632939026","","0.00290810624460213","","","0.0138293713786538","","0.0474408032945857","","","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","55","0.0196969696969697","","0","0.126974789915966","","","","0.0363636363636364","","","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","20","0.0063631221719457","","0.00342194570135747","0.260447640594699","","0.0321428571428571","","","","","","0",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","1","0","","0","0","","0","","0","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
