"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.46587165249397,0.0805638621552337,-30.6076643612571,9.67808387243375e-206
"sloc",0.0016450530181441,0.00038073058114117,4.32077983652733,1.55478743531318e-05
"AntiSingleton",-33.0900217094339,18645354.8490793,-1.77470592419795e-06,0.999998583989543
"ClassDataShouldBePrivate",-0.133402167979117,1.0027761617667,-0.133032847274797,0.894167403000722
"ComplexClass",0.722479154702946,0.214137740718201,3.37389921216039,0.00074111497408758
"LongParameterList",-0.889204980244337,1.02921983093498,-0.863960209002731,0.387609749679684
"AntiSingleton:ClassDataShouldBePrivate",34.9171352120165,18645354.8490793,1.87269888369761e-06,0.999998505802474
"AntiSingleton:ComplexClass",-2.56886092243486,69650907.2792205,-3.68819448702465e-08,0.999999970572466
"ClassDataShouldBePrivate:ComplexClass",0.868377165647788,1.42818344424638,0.608029149999014,0.543168140717742
"ComplexClass:LongParameterList",0.300482631915173,1.45438951912713,0.206603958543039,0.836319168497717
"(Intercept)",-2.46416005252211,0.0801296075856913,-30.7521792102491,1.14344348030214e-207
"sloc",0.00156598679585273,0.000358048394048485,4.37367356447538,1.2217302572352e-05
"ComplexClass",0.737921031096337,0.203551881189949,3.62522334248401,0.000288711828449578
