"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",5,0.00242836328314716,0.049230513223576,0.00242364343225669,0,0,0,0,1,20.2188633279566,409.802434274586,5.58236191520515e-73,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",15,0.00728508984944148,0.0850619269420317,0.00723553141509153,0,0,0,0,1,11.5876660815941,135.274005218526,2.66013750156943e-72,0
"ComplexClass",135,0.0655658086449733,0.247581710783617,0.0612967035145426,0,0,0,0,1,3.51027323324242,13.3220181720182,2.15560284276507e-67,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",55,0.0267119961146187,0.161279565529499,0.0260110982573839,0,0,0,0,1,5.87058844973347,35.4638087461441,2.59436987599083e-70,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",20,0.00971345313258863,0.0981008458968101,0.00962377596566969,0,0,0,0,1,9.99799023453061,100.95980872977,5.227890509924e-72,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",1,0.000485672656629432,0.022037982136063,0.000485672656629432,0,0,0,0,1,45.3431415531461,2057.00048590865,2.48232009596073e-73,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",231,0.112190383681399,0.332177798885914,0.11034209007269,0,0,0,0,2,2.88623715676955,10.7745437155853,9.22553651686678e-65,0
"LOC",164111,79.7042253521127,116.117343871342,13483.2375477354,1,21,43,91,1340,4.67398694758545,34.9252254172855,7.77986808373391e-58,0
"all",6440,3.12773190869354,19.4877226620249,379.771334551999,0,0,0,0,431,13.2951119634575,247.162850191265,2.49399800845335e-70,0
