ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
$.CustomUserService, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
$.CustomUserServiceTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
org.apache.rave.exception.DataSerializationException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,rave-components\rave-commons\src\main\java\org\apache\rave\exception\DataSerializationException.java,0,0,0,0
org.apache.rave.exception.DuplicateItemException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,rave-components\rave-commons\src\main\java\org\apache\rave\exception\DuplicateItemException.java,0,0,0,0
org.apache.rave.exception.DuplicateItemExceptionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,rave-components\rave-commons\src\test\java\org\apache\rave\exception\DuplicateItemExceptionTest.java,0,0,0,0
org.apache.rave.exception.EmailException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,rave-components\rave-commons\src\main\java\org\apache\rave\exception\EmailException.java,0,0,0,0
org.apache.rave.exception.NotSupportedException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,rave-components\rave-commons\src\main\java\org\apache\rave\exception\NotSupportedException.java,0,0,0,0
org.apache.rave.exception.NotSupportedExceptionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,rave-components\rave-commons\src\test\java\org\apache\rave\exception\NotSupportedExceptionTest.java,0,0,0,0
org.apache.rave.exception.ResourceNotFoundException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,rave-components\rave-commons\src\main\java\org\apache\rave\exception\ResourceNotFoundException.java,0,0,0,0
org.apache.rave.gadgets.oauth.inject.DefaultOAuthStore, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,86,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\inject\DefaultOAuthStore.java,0,0,0,0
org.apache.rave.gadgets.oauth.inject.DefaultOAuthStoreTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\test\java\org\apache\rave\gadgets\oauth\inject\DefaultOAuthStoreTest.java,0,0,0,0
org.apache.rave.gadgets.oauth.inject.OAuthGuiceModule, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\inject\OAuthGuiceModule.java,0,0,0,0
org.apache.rave.gadgets.oauth.service.DefaultOAuthConsumerStoreServiceTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\test\java\org\apache\rave\gadgets\oauth\service\DefaultOAuthConsumerStoreServiceTest.java,4,4,0,8
org.apache.rave.gadgets.oauth.service.DefaultOAuthTokenInfoServiceTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\test\java\org\apache\rave\gadgets\oauth\service\DefaultOAuthTokenInfoServiceTest.java,1,5,2,10
org.apache.rave.gadgets.oauth.service.OAuthConsumerStoreService, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\service\OAuthConsumerStoreService.java,0,0,0,0
org.apache.rave.gadgets.oauth.service.OAuthTokenInfoService, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\service\OAuthTokenInfoService.java,0,0,0,0
org.apache.rave.gadgets.oauth.service.impl.DefaultOAuthConsumerStoreService, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\service\impl\DefaultOAuthConsumerStoreService.java,0,0,0,0
org.apache.rave.gadgets.oauth.service.impl.DefaultOAuthTokenInfoService, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,rave-providers\rave-opensocial-provider\rave-opensocial-core\src\main\java\org\apache\rave\gadgets\oauth\service\impl\DefaultOAuthTokenInfoService.java,0,0,0,0
