"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.82603194747834,1.39150778835083,-4.90549316692529,9.31928851617143e-07
"sloc",-0.0312667982572335,0.0509256815651707,-0.613969166366888,0.539235702562341
"AntiSingleton",-16.1111095847374,18129.4572153973,-0.000888670267031172,0.999290943807619
"ClassDataShouldBePrivate",-16.4784843043773,12450.7939398822,-0.00132348863726623,0.99894400915821
"ComplexClass",-13.4145338772312,9680.11433389994,-0.0013857825862917,0.998894305823663
"LongParameterList",-15.3590113440303,12566.5572628396,-0.00122221313465448,0.999024815252638
"AntiSingleton:ClassDataShouldBePrivate",15.705139806361,36254.1353529832,0.000433195817620532,0.999654359756127
"AntiSingleton:ComplexClass",4.08008097076641,154827.889268765,2.63523644870196e-05,0.999978973855238
"AntiSingleton:LongParameterList",-0.851140592456055,117064.120539627,-7.27072128106011e-06,0.999994198803744
"ClassDataShouldBePrivate:ComplexClass",-0.471985166507677,120668.188884099,-3.91142993752079e-06,0.999996879130442
"ClassDataShouldBePrivate:LongParameterList",15.4189914653548,66536.644160741,0.000231736837044339,0.999815100757208
"ComplexClass:LongParameterList",16.1090433487596,25810.4869441261,0.000624127835465952,0.999502018068445
