class,SLOC
com.sun.jini.tool.ComputeHttpmdCodebase,102
net.jini.url.httpmd.Handler,180
net.jini.url.httpmd.HttpmdUtil,152
com.sun.jini.test.spec.activation.activatableinvocationhandler.Invoke_MethodsNoActivationTest,63
net.jini.activation.ActivatableInvocationHandler,543
net.jini.jeri.BasicInvocationHandler,574
com.sun.jini.qa.harness.TestException,19
com.sun.jini.qa.harness.QATest,101
com.sun.jini.test.spec.activation.util.FakeActivationID,37
com.sun.jini.test.spec.activation.util.MethodSetProxy,88
com.sun.jini.mercury.EventLogFactory,78
net.jini.id.Uuid,81
net.jini.core.event.RemoteEvent,30
com.sun.jini.mercury.InternalMailboxException,29
com.sun.jini.mercury.RemoteEventData,42
com.sun.jini.mercury.PersistentEventLog,569
com.sun.jini.mercury.TransientEventLog,145
com.sun.jini.test.impl.fiddler.joinadmin.SetLookupGroupsDups,7
com.sun.jini.test.share.GroupsUtil,186
com.sun.jini.qa.harness.AbstractServiceAdmin,663
com.sun.jini.test.impl.fiddler.joinadmin.SetLookupGroups,40
com.sun.jini.qa.harness.AdminManager,480
com.sun.jini.test.spec.renewalservice.ExpireSetSleepTest,110
net.jini.core.lease.UnknownLeaseException,9
com.sun.jini.test.share.OpCountingOwner,37
com.sun.jini.test.share.TestLease,63
com.sun.jini.test.share.TestLeaseProvider,17
com.sun.jini.test.spec.renewalservice.AbstractLeaseRenewalServiceTest,58
com.sun.jini.qa.harness.QAConfig,1557
com.sun.jini.test.spec.renewalservice.LeaseRenewalServiceTestUtil,130
com.sun.jini.test.spec.lookupdiscovery.RemoveGroupsUnsupportedOperation,33
net.jini.discovery.LookupDiscovery,1676
com.sun.jini.test.spec.lookupdiscovery.Discovered,17
com.sun.jini.test.spec.discoverymanager.GroupsAddNewDiscoveryListener,10
com.sun.jini.test.spec.discoverymanager.AddNewDiscoveryListener,13
com.sun.jini.test.spec.discoverymanager.AbstractBaseTest,146
com.sun.jini.norm.event.EventTypeGenerator,43
com.sun.jini.thread.TaskManager,192
com.sun.jini.thread.WakeupManager,267
com.sun.jini.norm.event.EventType,205
