Class,same,uchangedLines,deleted,added,changed,all, differenceSection
examples\hello\src\com\sun\jini\example\hello\ActivatableServer.java,262,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\Client.java,160,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\ConfirmingILFactory.java,147,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\ConfirmingInvocationHandler.java,79,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\Hello.java,39,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\MdClassAnnotationProvider.java,80,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\Proxy.java,137,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\Server.java,219,0,0,0,0,0,0
examples\hello\src\com\sun\jini\example\hello\ServerPermission.java,43,0,0,0,0,0,0
qa\jtreg\certs\CA.java,32,0,0,0,0,0,0
qa\jtreg\com\sun\jini\action\catchSecurityException\CatchSecurityException.java,163,0,0,0,0,0,0
qa\jtreg\com\sun\jini\config\KeyStores\TestAll.java,29,0,0,0,0,0,0
qa\jtreg\com\sun\jini\config\KeyStores\TestGetKeyStore.java,216,0,0,0,0,0,0
qa\jtreg\com\sun\jini\config\KeyStores\TestGetX500Principal.java,104,0,0,0,0,0,0
qa\jtreg\com\sun\jini\phoenix\ExecOptionPermission\Operations.java,165,0,0,0,0,0,0
qa\jtreg\com\sun\jini\tool\CheckCodeStyle\Regular.java,172,0,0,0,0,0,0
qa\jtreg\com\sun\jini\tool\CheckCodeStyle\SingleIf.java,66,0,0,0,0,0,0
qa\jtreg\com\sun\jini\tool\CheckConfigurationFile\NoExit.java,49,0,0,0,0,0,0
qa\jtreg\com\sun\jini\tool\CheckConfigurationFile\TestCheck.java,445,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\FnnClass.java,32,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\FnnUnmarshal.java,29,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\LoadProxyClasses.java,404,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\NonpublicInterface.java,23,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\NonpublicInterface1.java,23,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\PreferredLoadProxyClasses.java,40,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\PublicInterface.java,23,0,0,0,0,0,0
qa\jtreg\java\rmi\server\RMIClassLoader\loadProxyClasses\PublicInterface1.java,23,0,0,0,0,0,0
qa\jtreg\java\rmi\server\Unreferenced\marshalledObjectGet\MarshalledObjectGet.java,118,0,0,0,0,0,0
qa\jtreg\java\rmi\server\Unreferenced\whenOnUnexport\WhenOnUnexport.java,148,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\activateExceptionTest\ActivateExceptionTest.java,202,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\activateExceptionTest\ActivateMe.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\activateFailure\ActivateFailure.java,75,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkImplClassLoader\ActivatableImpl.java,66,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkImplClassLoader\ActivatableImpl_Stub.java,69,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkImplClassLoader\CheckImplClassLoader.java,148,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkImplClassLoader\MyRMI.java,27,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkRegisterInLog\ActivateMe.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkRegisterInLog\CheckRegisterInLog.java,157,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\checkRegisterInLog\CheckRegisterInLog_Stub.java,98,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\createPrivateActivable\ActivateMe.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\createPrivateActivable\CreatePrivateActivatable$PrivateActivatable_Stub.java,69,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\createPrivateActivable\CreatePrivateActivatable.java,150,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadParameterClass\Bar.java,19,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadParameterClass\DownloadParameterClass.java,152,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadParameterClass\Foo.java,19,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadParameterClass\FooReceiverImpl.java,51,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadParameterClass\FooReceiverImpl_Stub.java,59,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadSecurityManager\ActivateMe.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadSecurityManager\AlternateGroup.java,77,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadSecurityManager\CustomRMISecurityManager.java,116,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadSecurityManager\DownloadSecurityManager.java,183,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\downloadSecurityManager\DownloadSecurityManager_Stub.java,104,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\forceLogSnapshot\ActivateMe.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\forceLogSnapshot\ForceLogSnapshot.java,320,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\forceLogSnapshot\ForceLogSnapshot_Skel.java,93,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\forceLogSnapshot\ForceLogSnapshot_Stub.java,105,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\inactiveGroup\ActivateMe.java,28,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\inactiveGroup\InactiveGroup.java,191,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\inactiveGroup\InactiveGroup_Stub.java,86,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nestedActivate\ActivateMe.java,27,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nestedActivate\NestedActivate.java,195,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nestedActivate\NestedActivate_Stub.java,114,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nonExistentActivatable\ActivateMe.java,27,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nonExistentActivatable\NonExistentActivatable.java,147,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\nonExistentActivatable\NonExistentActivatable_Stub.java,114,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartCrashedService\ActivateMe.java,28,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartCrashedService\RestartCrashedService.java,251,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartCrashedService\RestartCrashedService_Stub.java,140,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartService\ActivateMe.java,25,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartService\RestartService.java,221,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\restartService\RestartService_Stub.java,59,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\terminateGroup\ActivateMe.java,27,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\terminateGroup\TerminateGroup.java,200,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\unregisterInactive\ActivateMe.java,29,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\unregisterInactive\UnregisterInactive.java,139,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\unregisterInactive\UnregisterInactive_Stub.java,114,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\useProxyAccessor\UseProxyAccessor.java,140,0,0,0,0,0,0
qa\jtreg\net\jini\activation\Activatable\useProxyAccessor\UseProxyAccessor_Stub.java,60,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivatableInvocationHandler\readObject\ReadObject.java,147,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationAdmin\getGroupsObjects\GetGroupsObjects.java,120,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\accessControl\AccessControl.java,456,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\bootstrapAttack\BootstrapAttack.java,90,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\bootstrapAttack\Foo.java,23,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\ensureRestart\ActivateMe.java,27,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\ensureRestart\Callback.java,26,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\ensureRestart\EnsureRestart.java,167,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\unregisterGroup\ActivateMe.java,28,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\unregisterGroup\Callback_Stub.java,116,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\unregisterGroup\CallbackInterface.java,24,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\unregisterGroup\UnregisterGroup.java,203,0,0,0,0,0,0
qa\jtreg\net\jini\activation\ActivationSystem\unregisterGroup\UnregisterGroup_Stub.java,138,0,0,0,0,0,0
qa\jtreg\net\jini\config\ConfigurationFile\TestParser\a\b\U.java,25,0,0,0,0,0,0
