"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-25.4256261396841,6855.87845487251,-0.00370858764592216,0.997040981957805
"sloc",0.0169974127491067,0.0103997807311516,1.63440106945644,0.102174663843081
"AntiSingleton",20.6153583316869,6855.87869057596,0.00300696077951679,0.99760079603461
"ClassDataShouldBePrivate",-21.2655792200304,21921.4407004116,-0.000970081278445863,0.999225987246603
"ComplexClass",20.3596854701501,6855.87849259073,0.00296966836447775,0.997630550943947
"LongParameterList",19.6367284600626,6855.87848616711,0.00286421769284316,0.997714688048788
"AntiSingleton:ComplexClass",-44.0163688786783,115044.167242677,-0.000382604089660879,0.999694726111408
"AntiSingleton:LongParameterList",-40.2971771251685,66150.6158094862,-0.000609173121550741,0.99951395020152
"ClassDataShouldBePrivate:LongParameterList",21.872795979434,134155.163147433,0.000163041030000436,0.999869912079962
"ComplexClass:LongParameterList",-21.5227296049133,6855.87875718492,-0.00313931012597877,0.997495197033161
