"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-17.3849671864583,6.16271301393367,-2.82099249910738,0.0047875322291526
"sloc",0.0609192190424347,0.0214594432812243,2.83880705776442,0.00452825282954672
"ClassDataShouldBePrivate",-49.6438731356141,13421772.8000008,-3.69875677940331e-06,0.999997048819072
"ComplexClass",7.75777676441295,3.70624965110328,2.09316087546979,0.0363347959941689
"LongParameterList",5.64927042717945,3.54349163797428,1.59426661732127,0.110876331293185
"ClassDataShouldBePrivate:LongParameterList",-1.6744177291641,68437881.4142091,-2.44662414230792e-08,0.999999980478764
"ComplexClass:LongParameterList",-17.9423083199359,8.46348068727896,-2.11996801114039,0.0340087430780931
"(Intercept)",-5.82938137292724,0.450785033629506,-12.9316213672664,2.98457683619825e-38
"sloc",0.0320902947138713,0.00186780926883032,17.180712854031,3.70332370592558e-66
"ComplexClass",-2.16950879171915,0.715977900143963,-3.03013373916,0.00244445469860607
"ComplexClass:LongParameterList",-2.13030809977298,0.8151557384142,-2.61337557890137,0.00896527203848975
