"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","43","","1","0.102137767220903","0.759291360323712","","","","1","","","","",""
"Blob","2","1","","1","0.146408777287637","","","","1","","","","",""
"ClassDataShouldBePrivate","1","0.102137767220903","1","","1","","","","1","","","","",""
"ComplexClass","32","0.759291360323712","0.146408777287637","1","","","","","0.200403227161251","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","11","1","1","1","0.200403227161251","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
