ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
javax.xml.crypto.test.KeySelectorExceptionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\test\java\javax\xml\crypto\test\KeySelectorExceptionTest.java,0,0,0,0
javax.xml.crypto.test.OctetStreamDataTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\test\java\javax\xml\crypto\test\OctetStreamDataTest.java,0,0,0,0
javax.xml.crypto.test.dsig.X509KeySelector, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,src\test\java\javax\xml\crypto\test\dsig\X509KeySelector.java,0,0,0,0
javax.xml.crypto.test.dsig.XMLSignContextTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,src\test\java\javax\xml\crypto\test\dsig\XMLSignContextTest.java,0,0,0,0
javax.xml.crypto.test.dsig.XMLValidateContextTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,src\test\java\javax\xml\crypto\test\dsig\XMLValidateContextTest.java,0,0,0,0
javax.xml.crypto.test.dsig.dom.DOMValidateContextTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,src\test\java\javax\xml\crypto\test\dsig\dom\DOMValidateContextTest.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.MacOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,src\main\java\org\apache\jcp\xml\dsig\internal\MacOutputStream.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.SignerOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,src\main\java\org\apache\jcp\xml\dsig\internal\SignerOutputStream.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.dom.AbstractDOMSignatureMethod, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,src\main\java\org\apache\jcp\xml\dsig\internal\dom\AbstractDOMSignatureMethod.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.dom.ApacheCanonicalizer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,src\main\java\org\apache\jcp\xml\dsig\internal\dom\ApacheCanonicalizer.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.dom.ApacheData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,src\main\java\org\apache\jcp\xml\dsig\internal\dom\ApacheData.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.dom.ApacheNodeSetData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,src\main\java\org\apache\jcp\xml\dsig\internal\dom\ApacheNodeSetData.java,0,0,0,0
org.apache.jcp.xml.dsig.internal.dom.ApacheOctetStreamData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,src\main\java\org\apache\jcp\xml\dsig\internal\dom\ApacheOctetStreamData.java,0,0,0,0
