"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.13043432662293,0.204115808885597,-15.3365598858513,4.3567974022462e-53
"sloc",0.00702245372639179,0.0013820091158187,5.08133676255218,3.74788002742769e-07
"AntiSingleton",-34.243274367479,67108863.9999999,-5.10264551154956e-07,0.999999592867793
"ClassDataShouldBePrivate",-34.0361119993195,47453132.8121257,-7.17257428167571e-07,0.999999427711372
"ComplexClass",-35.3822395990744,12491275.7695224,-2.83255611771889e-06,0.999997739947206
"LongParameterList",-34.5253429356121,27397079.0029718,-1.26018335501631e-06,0.999998994519157
"AntiSingleton:ClassDataShouldBePrivate",67.36435131044,94767695.7171665,7.10836649563459e-07,0.999999432834412
"ComplexClass:LongParameterList",33.5084148512921,49069662.5628861,6.82874368829189e-07,0.999999455145084
"(Intercept)",-3.0375984402162,0.206590343505379,-14.7034870491762,6.12240272329897e-49
"sloc",0.00407070439845356,0.0014251838046737,2.85626624797745,0.00428655510272425
