class,SLOC
org.apache.spark.mllib.regression.JavaLassoSuite,52
org.apache.spark.examples.ml.JavaCrossValidatorExample,55
org.apache.spark.mllib.feature.JavaWord2VecSuite,28
org.apache.spark.network.protocol.ChunkFetchSuccess,39
org.apache.spark.network.buffer.ManagedBuffer,8
org.apache.spark.network.buffer.NettyManagedBuffer,38
org.apache.spark.network.protocol.StreamChunkId,41
org.apache.spark.network.sasl.SparkSaslServer,83
org.apache.spark.network.server.OneForOneStreamManager,48
org.apache.spark.network.server.StreamManager,4
org.apache.spark.network.ChunkFetchIntegrationSuite,158
org.apache.spark.network.buffer.FileSegmentManagedBuffer,102
org.apache.spark.network.buffer.NioManagedBuffer,36
org.apache.spark.network.client.TransportClient,103
org.apache.spark.network.client.TransportClientFactory,126
org.apache.spark.network.server.RpcHandler,8
org.apache.spark.network.server.TransportServer,88
org.apache.spark.network.util.SystemPropertyConfigProvider,10
org.apache.spark.network.util.TransportConf,34
org.apache.spark.network.TransportContext,47
org.apache.spark.network.TestUtils,9
org.apache.spark.network.sasl.SaslIntegrationSuite,105
org.apache.spark.network.shuffle.ExternalShuffleBlockHandler,42
org.apache.spark.network.sasl.SaslRpcHandler,40
org.apache.spark.network.sasl.SaslClientBootstrap,31
org.apache.spark.streaming.LocalJavaStreamingContext,17
org.apache.spark.network.protocol.ChunkFetchRequest,33
org.apache.spark.network.shuffle.RetryingBlockFetcherSuite,194
org.apache.spark.network.shuffle.RetryingBlockFetcher,107
org.apache.spark.network.TestManagedBuffer,60
org.apache.spark.network.shuffle.protocol.BlockTransferMessage,32
org.apache.spark.network.shuffle.protocol.OpenBlocks,52
org.apache.spark.network.shuffle.protocol.UploadBlock,72
org.apache.spark.network.shuffle.protocol.RegisterExecutor,55
org.apache.spark.network.shuffle.protocol.StreamHandle,44
org.apache.spark.mllib.fpm.JavaFPGrowthSuite,33
org.apache.spark.examples.streaming.JavaDirectKafkaWordCount,56
org.apache.spark.mllib.regression.JavaIsotonicRegressionSuite,43
org.apache.spark.JobExecutionStatus,6
test.org.apache.spark.sql.sources.JavaSaveLoadSuite,50
org.apache.spark.sql.types.DataTypes,92
org.apache.spark.sql.SaveMode,6
org.apache.spark.examples.mllib.JavaALS,44
org.apache.spark.examples.streaming.JavaKafkaWordCount,49
org.apache.spark.examples.JavaStatusTrackerDemo,31
org.apache.spark.streaming.flume.JavaFlumePollingStreamSuite,16
org.apache.spark.streaming.LocalJavaStreamingContext,17
org.apache.spark.network.shuffle.TestShuffleDataContext,59
org.apache.spark.network.shuffle.protocol.ExecutorShuffleInfo,50
org.apache.spark.network.shuffle.ExternalShuffleBlockManager,140
org.apache.spark.util.collection.TestTimSort,59
org.apache.spark.network.shuffle.ExternalShuffleCleanupSuite,81
org.apache.spark.streaming.kafka.JavaDirectKafkaStreamSuite,102
org.apache.spark.SparkFirehoseListener,68
org.apache.spark.examples.mllib.JavaDecisionTree,62
org.apache.spark.streaming.JavaReceiverAPISuite,50
org.apache.spark.streaming.JavaSocketReceiver,38
org.apache.spark.examples.JavaWordCount,35
org.apache.spark.streaming.LocalJavaStreamingContext,17
org.apache.spark.examples.mllib.JavaRandomForestExample,81
org.apache.spark.network.TransportClientFactorySuite,117
org.apache.spark.network.server.NoOpRpcHandler,12
org.apache.spark.network.util.ConfigProvider,22
org.apache.spark.network.util.JavaUtils,64
org.apache.spark.examples.ml.JavaSimpleParamsExample,39
org.apache.spark.examples.JavaSparkPi,28
org.apache.spark.network.shuffle.ExternalShuffleBlockManagerSuite,76
org.apache.spark.streaming.kafka.JavaKafkaStreamSuite,86
org.apache.spark.streaming.twitter.JavaTwitterStreamSuite,15
org.apache.spark.examples.streaming.JavaQueueStream,35
org.apache.spark.network.protocol.MessageEncoder,32
org.apache.spark.network.protocol.ChunkFetchFailure,39
org.apache.spark.util.collection.TimSort,468
org.apache.spark.mllib.regression.JavaStreamingLinearRegressionSuite,38
org.apache.spark.sql.hive.execution.UDFIntegerToString,5
org.apache.spark.sql.hive.execution.UDFListListInt,19
org.apache.spark.mllib.classification.JavaLogisticRegressionSuite,54
org.apache.spark.sql.hive.execution.UDFStringString,5
