"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","0.00127513673310981","0.0324983562572261","","","","0.197239265650039","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","27","0.359449882791104","","","0.410665287398566","","","","0.760301884418358","","","","",""
"ComplexClass","41","0.00143313999479765","","0.2483113052509","","","","","0.0141539799235002","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","10","0.136233319435452","","0.292719313885759","0.184926108769264","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
