ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.sqoop.audit.AuditLoggerConstants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,core\src\main\java\org\apache\sqoop\audit\AuditLoggerConstants.java,0,0,0,0
org.apache.sqoop.classification.InterfaceAudience, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,common\src\main\java\org\apache\sqoop\classification\InterfaceAudience.java,0,0,0,0
org.apache.sqoop.classification.InterfaceStability, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,common\src\main\java\org\apache\sqoop\classification\InterfaceStability.java,0,0,0,0
org.apache.sqoop.client.SubmissionCallback, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,client\src\main\java\org\apache\sqoop\client\SubmissionCallback.java,0,0,0,0
org.apache.sqoop.client.request.ConnectorResourceRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,client\src\main\java\org\apache\sqoop\client\request\ConnectorResourceRequest.java,0,0,0,0
org.apache.sqoop.client.request.DriverResourceRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,client\src\main\java\org\apache\sqoop\client\request\DriverResourceRequest.java,0,0,0,0
org.apache.sqoop.client.request.JobResourceRequest, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,client\src\main\java\org\apache\sqoop\client\request\JobResourceRequest.java,0,0,0,0
org.apache.sqoop.client.request.LinkResourceRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,client\src\main\java\org\apache\sqoop\client\request\LinkResourceRequest.java,0,0,0,0
org.apache.sqoop.client.request.SqoopResourceRequests, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,client\src\main\java\org\apache\sqoop\client\request\SqoopResourceRequests.java,7,38,2,49
org.apache.sqoop.client.request.SubmissionResourceRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,client\src\main\java\org\apache\sqoop\client\request\SubmissionResourceRequest.java,0,0,0,0
org.apache.sqoop.client.request.VersionResourceRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,client\src\main\java\org\apache\sqoop\client\request\VersionResourceRequest.java,0,0,0,0
org.apache.sqoop.common.ErrorCode, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,common\src\main\java\org\apache\sqoop\common\ErrorCode.java,0,0,0,0
org.apache.sqoop.common.ImmutableContext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,common\src\main\java\org\apache\sqoop\common\ImmutableContext.java,0,1,1,3
org.apache.sqoop.common.MutableContext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,common\src\main\java\org\apache\sqoop\common\MutableContext.java,0,0,0,0
org.apache.sqoop.common.MutableMapContext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,28,common\src\main\java\org\apache\sqoop\common\MutableMapContext.java,0,0,0,0
org.apache.sqoop.common.PrefixContext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,31,common\src\main\java\org\apache\sqoop\common\PrefixContext.java,38,0,0,38
org.apache.sqoop.common.SqoopException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,30,common\src\main\java\org\apache\sqoop\common\SqoopException.java,0,0,0,0
org.apache.sqoop.common.SqoopProtocolConstants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,common\src\main\java\org\apache\sqoop\common\SqoopProtocolConstants.java,0,0,0,0
org.apache.sqoop.common.TestSqoopResponseCode, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,common\src\test\java\org\apache\sqoop\common\TestSqoopResponseCode.java,0,0,0,0
org.apache.sqoop.common.TestSupportedDirections, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,common\src\test\java\org\apache\sqoop\common\TestSupportedDirections.java,0,0,0,0
org.apache.sqoop.common.TestVersionInfo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,common\src\test\java\org\apache\sqoop\common\TestVersionInfo.java,0,0,0,0
org.apache.sqoop.common.test.asserts.ProviderAsserts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,common-test\src\main\java\org\apache\sqoop\common\test\asserts\ProviderAsserts.java,0,4,2,8
org.apache.sqoop.common.test.db.DerbyProvider, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,common-test\src\main\java\org\apache\sqoop\common\test\db\DerbyProvider.java,0,6,0,6
org.apache.sqoop.common.test.kafka.KafkaLocal, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,common-test\src\main\java\org\apache\sqoop\common\test\kafka\KafkaLocal.java,0,0,0,0
