"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","156","","","","0.0144230769230769","","0.00801282051282051","","0.0737179487179487","","","","",""
"Blob_0","157","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","156","","","","0.0144230769230769","","0.00801282051282051","","0.0737179487179487","","","","",""
"ComplexClass_0","154","","","","","","0.00811688311688312","","0.0746753246753247","","","","",""
"LargeClass_0","157","","","","","","","","","","","","",""
"LazyClass_0","154","","","","0.0146103896103896","","","","0.0746753246753247","","","","",""
"LongMethod_0","157","","","","","","","","","","","","",""
"LongParameterList_0","146","","","","0.0154109589041096","","0.00856164383561644","","","","","","",""
"MessageChains_0","157","","","","","","","","","","","","",""
"RefusedParentBequest_0","157","","","","","","","","","","","","",""
"SpaghettiCode_0","157","","","","","","","","","","","","",""
"SpeculativeGenerality_0","157","","","","","","","","","","","","",""
"SwissArmyKnife_0","157","","","","","","","","","","","","",""
"AntiSingleton_1","1","","","","0","","0","","0","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","1","","","","0","","0","","0","","","","",""
"ComplexClass_1","3","","","","","","0","","0","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","3","","","","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","11","","","","0","","0","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
