"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","","","0.925868150809208","","0.925868150809208","","0.743399138178057","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","1","","","","0.925868150809208","","0.925868150809208","","0.743399138178057","","","","",""
"ComplexClass","3","","","","","","0.828778818133458","","0.552215352139789","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","3","","","","0.828778818133458","","","","0.552215352139789","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","11","","","","0.642661081999348","","0.642661081999348","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
