"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",30,0.0952380952380952,0.294010578381428,0.086442220200182,0,0,0,0,1,2.75776415922296,8.60526315789474,2.94377118385895e-32,0
"ComplexClass",15,0.0476190476190476,0.213297691896834,0.0454959053685168,0,0,0,0,1,4.2485291572496,19.05,3.19273378797011e-34,1.44161238502249e-10
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",4,0.0126984126984127,0.112147627188883,0.0125770902840967,0,0,0,0,1,8.70418644884945,76.7628617363344,3.57130044271288e-36,0.000260676985085806
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",49,0.155555555555556,0.404504012474008,0.163623496107573,0,0,0,0,2,2.59466575679873,9.29090213838436,1.46597017435808e-30,0
"LOC",9186,29.1619047619048,35.2533479847096,1242.79854413103,2,10,16,34,252,3.30776686849423,17.1854395761467,3.67303764184149e-25,1.56763491077072e-13
"all",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
