ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
JettyPlutoLauncher, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,src\apps\portlet\src\test\java\JettyPlutoLauncher.java,0,0,0,0
PackagelessAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,src\xwork-core\src\test\java\PackagelessAction.java,0,0,0,0
actions.ViewAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,src\plugins\junit\src\test\java\actions\ViewAction.java,0,0,0,0
actions.osgi.BundlesAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,src\bundles\demo\src\main\java\actions\osgi\BundlesAction.java,0,0,0,0
actions.osgi.Message, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\bundles\demo\src\main\java\actions\osgi\Message.java,0,0,0,0
com.opensymphony.xwork2.Action, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\Action.java,0,0,0,0
com.opensymphony.xwork2.ActionEventListener, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\ActionEventListener.java,0,0,0,0
com.opensymphony.xwork2.ActionInvocation, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\ActionInvocation.java,0,0,0,0
com.opensymphony.xwork2.ActionProxy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\ActionProxy.java,0,0,0,0
com.opensymphony.xwork2.AnnotatedTestBean, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,src\xwork-core\src\test\java\com\opensymphony\xwork2\AnnotatedTestBean.java,0,0,0,0
com.opensymphony.xwork2.DefaultActionProxy, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,src\xwork-core\src\main\java\com\opensymphony\xwork2\DefaultActionProxy.java,0,0,0,0
com.opensymphony.xwork2.DefaultClasstTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,src\xwork-core\src\test\java\com\opensymphony\xwork2\DefaultClasstTest.java,0,0,0,0
com.opensymphony.xwork2.DefaultLocaleProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,src\xwork-core\src\main\java\com\opensymphony\xwork2\DefaultLocaleProvider.java,0,0,0,0
com.opensymphony.xwork2.DefaultTextProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,src\xwork-core\src\main\java\com\opensymphony\xwork2\DefaultTextProvider.java,0,0,0,0
com.opensymphony.xwork2.ExternalReferenceAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\test\java\com\opensymphony\xwork2\ExternalReferenceAction.java,0,0,0,0
com.opensymphony.xwork2.FileManager, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\FileManager.java,0,0,0,0
com.opensymphony.xwork2.FileManagerFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\main\java\com\opensymphony\xwork2\FileManagerFactory.java,0,0,0,0
com.opensymphony.xwork2.Foo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\test\java\com\opensymphony\xwork2\Foo.java,0,0,0,0
com.opensymphony.xwork2.InvalidMetadataException, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\xwork-core\src\main\java\com\opensymphony\xwork2\InvalidMetadataException.java,0,0,0,0
com.opensymphony.xwork2.LocaleAwareTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,src\xwork-core\src\test\java\com\opensymphony\xwork2\LocaleAwareTest.java,0,0,0,0
com.opensymphony.xwork2.LocaleProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,src\xwork-core\src\main\java\com\opensymphony\xwork2\LocaleProvider.java,0,0,0,0
com.opensymphony.xwork2.MockActionInvocation, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,src\xwork-core\src\main\java\com\opensymphony\xwork2\MockActionInvocation.java,0,0,0,0
com.opensymphony.xwork2.ModelDriven, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,src\xwork-core\src\main\java\com\opensymphony\xwork2\ModelDriven.java,0,0,0,0
com.opensymphony.xwork2.ModelDrivenAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\xwork-core\src\test\java\com\opensymphony\xwork2\ModelDrivenAction.java,0,0,0,0
com.opensymphony.xwork2.ModelDrivenAnnotationAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\xwork-core\src\test\java\com\opensymphony\xwork2\ModelDrivenAnnotationAction.java,0,0,0,0
com.opensymphony.xwork2.NestedAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\xwork-core\src\test\java\com\opensymphony\xwork2\NestedAction.java,0,0,0,0
com.opensymphony.xwork2.Preparable, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\xwork-core\src\main\java\com\opensymphony\xwork2\Preparable.java,0,0,0,0
com.opensymphony.xwork2.ProxyInvocationAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\xwork-core\src\test\java\com\opensymphony\xwork2\ProxyInvocationAction.java,0,0,0,0
com.opensymphony.xwork2.ProxyInvocationInterface, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\xwork-core\src\test\java\com\opensymphony\xwork2\ProxyInvocationInterface.java,0,0,0,0
com.opensymphony.xwork2.ResourceBundleTextProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\xwork-core\src\main\java\com\opensymphony\xwork2\ResourceBundleTextProvider.java,0,0,0,0
com.opensymphony.xwork2.Result, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\xwork-core\src\main\java\com\opensymphony\xwork2\Result.java,0,0,0,0
com.opensymphony.xwork2.SimpleFooAction, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\xwork-core\src\test\java\com\opensymphony\xwork2\SimpleFooAction.java,0,0,0,0
com.opensymphony.xwork2.TestBean, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,src\xwork-core\src\test\java\com\opensymphony\xwork2\TestBean.java,0,0,0,0
com.opensymphony.xwork2.TestChildBean, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\xwork-core\src\test\java\com\opensymphony\xwork2\TestChildBean.java,0,0,0,0
com.opensymphony.xwork2.TestInterceptor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,src\xwork-core\src\test\java\com\opensymphony\xwork2\TestInterceptor.java,0,0,0,0
com.opensymphony.xwork2.TestNGXWorkTestCase, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,src\xwork-core\src\main\java\com\opensymphony\xwork2\TestNGXWorkTestCase.java,0,0,0,0
com.opensymphony.xwork2.TestNGXWorkTestCaseTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\xwork-core\src\test\java\com\opensymphony\xwork2\TestNGXWorkTestCaseTest.java,0,0,0,0
com.opensymphony.xwork2.TextProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\xwork-core\src\main\java\com\opensymphony\xwork2\TextProvider.java,0,0,0,0
com.opensymphony.xwork2.TextProviderFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,src\xwork-core\src\main\java\com\opensymphony\xwork2\TextProviderFactory.java,0,0,0,0
com.opensymphony.xwork2.TextProviderSupport, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,src\xwork-core\src\main\java\com\opensymphony\xwork2\TextProviderSupport.java,0,0,0,0
com.opensymphony.xwork2.TextProviderSupportTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,src\xwork-core\src\test\java\com\opensymphony\xwork2\TextProviderSupportTest.java,0,0,0,0
com.opensymphony.xwork2.Unchainable, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,src\xwork-core\src\main\java\com\opensymphony\xwork2\Unchainable.java,0,0,0,0
com.opensymphony.xwork2.UnknownHandler, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,src\xwork-core\src\main\java\com\opensymphony\xwork2\UnknownHandler.java,0,0,0,0
com.opensymphony.xwork2.UnknownHandlerManager, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,src\xwork-core\src\main\java\com\opensymphony\xwork2\UnknownHandlerManager.java,0,0,0,0
com.opensymphony.xwork2.UnknownHandlerManagerMock, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,src\xwork-core\src\test\java\com\opensymphony\xwork2\UnknownHandlerManagerMock.java,0,0,0,0
com.opensymphony.xwork2.UserSpecifiedDefaultAction, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,src\xwork-core\src\test\java\com\opensymphony\xwork2\UserSpecifiedDefaultAction.java,0,0,0,0
com.opensymphony.xwork2.Validateable, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,src\xwork-core\src\main\java\com\opensymphony\xwork2\Validateable.java,0,0,0,0
com.opensymphony.xwork2.ValidationOrderAction, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,src\xwork-core\src\test\java\com\opensymphony\xwork2\ValidationOrderAction.java,0,0,0,0
com.opensymphony.xwork2.VoidResult, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,src\xwork-core\src\test\java\com\opensymphony\xwork2\VoidResult.java,0,0,0,0
com.opensymphony.xwork2.WildCardResultTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,src\xwork-core\src\test\java\com\opensymphony\xwork2\WildCardResultTest.java,0,0,0,0
com.opensymphony.xwork2.XWorkConstants, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,src\xwork-core\src\main\java\com\opensymphony\xwork2\XWorkConstants.java,0,0,0,0
com.opensymphony.xwork2.XWorkException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,src\xwork-core\src\main\java\com\opensymphony\xwork2\XWorkException.java,0,0,0,0
com.opensymphony.xwork2.XWorkJUnit4TestCase, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\xwork-core\src\main\java\com\opensymphony\xwork2\XWorkJUnit4TestCase.java,0,0,0,0
com.opensymphony.xwork2.XWorkMessages, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\xwork-core\src\main\java\com\opensymphony\xwork2\XWorkMessages.java,0,0,0,0
com.opensymphony.xwork2.XWorkTestCase, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,src\xwork-core\src\main\java\com\opensymphony\xwork2\XWorkTestCase.java,0,0,0,0
com.opensymphony.xwork2.config.BeanSelectionProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\BeanSelectionProvider.java,0,0,0,0
com.opensymphony.xwork2.config.ConfigurationException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ConfigurationException.java,0,0,0,0
com.opensymphony.xwork2.config.ConfigurationManager, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ConfigurationManager.java,0,0,0,0
com.opensymphony.xwork2.config.ConfigurationManagerTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,src\xwork-core\src\test\java\com\opensymphony\xwork2\config\ConfigurationManagerTest.java,0,0,0,0
com.opensymphony.xwork2.config.ConfigurationProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ConfigurationProvider.java,0,0,0,0
com.opensymphony.xwork2.config.ConfigurationUtil, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ConfigurationUtil.java,0,0,0,0
com.opensymphony.xwork2.config.ContainerProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ContainerProvider.java,0,0,0,0
com.opensymphony.xwork2.config.FileManagerFactoryProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\FileManagerFactoryProvider.java,0,0,0,0
com.opensymphony.xwork2.config.FileManagerProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\FileManagerProvider.java,0,0,0,0
com.opensymphony.xwork2.config.PackageProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\PackageProvider.java,0,0,0,0
com.opensymphony.xwork2.config.ReferenceResolverException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\ReferenceResolverException.java,0,0,0,0
com.opensymphony.xwork2.config.entities.ActionConfigTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,src\xwork-core\src\test\java\com\opensymphony\xwork2\config\entities\ActionConfigTest.java,0,0,0,0
com.opensymphony.xwork2.config.entities.InterceptorListHolder, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\entities\InterceptorListHolder.java,0,0,0,0
com.opensymphony.xwork2.config.entities.InterceptorLocator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\entities\InterceptorLocator.java,0,0,0,0
com.opensymphony.xwork2.config.entities.InterceptorMapping, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,src\xwork-core\src\main\java\com\opensymphony\xwork2\config\entities\InterceptorMapping.java,0,0,0,0
