ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.subversion.javahl.ClientException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19,subversion\bindings\javahl\src\org\apache\subversion\javahl\ClientException.java,0,0,0,0
org.apache.subversion.javahl.CommitInfo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,subversion\bindings\javahl\src\org\apache\subversion\javahl\CommitInfo.java,0,0,0,0
org.apache.subversion.javahl.CommitItem, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,subversion\bindings\javahl\src\org\apache\subversion\javahl\CommitItem.java,0,0,0,0
org.apache.subversion.javahl.CommitItemStateFlags, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,subversion\bindings\javahl\src\org\apache\subversion\javahl\CommitItemStateFlags.java,0,0,0,0
org.apache.subversion.javahl.ConflictDescriptor, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,133,subversion\bindings\javahl\src\org\apache\subversion\javahl\ConflictDescriptor.java,0,0,0,0
org.apache.subversion.javahl.ConflictResult, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,subversion\bindings\javahl\src\org\apache\subversion\javahl\ConflictResult.java,0,0,0,0
org.apache.subversion.javahl.DiffSummary, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,subversion\bindings\javahl\src\org\apache\subversion\javahl\DiffSummary.java,0,0,0,0
org.apache.subversion.javahl.ISVNRepos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,subversion\bindings\javahl\src\org\apache\subversion\javahl\ISVNRepos.java,0,0,0,0
org.apache.subversion.javahl.JNIError, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,subversion\bindings\javahl\src\org\apache\subversion\javahl\JNIError.java,0,0,0,0
org.apache.subversion.javahl.NativeResources, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,subversion\bindings\javahl\src\org\apache\subversion\javahl\NativeResources.java,0,0,0,0
org.apache.subversion.javahl.ProgressEvent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,subversion\bindings\javahl\src\org\apache\subversion\javahl\ProgressEvent.java,0,0,0,0
org.apache.subversion.javahl.ReposNotifyInformation, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,subversion\bindings\javahl\src\org\apache\subversion\javahl\ReposNotifyInformation.java,0,0,0,0
org.apache.subversion.javahl.RunTests, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,subversion\bindings\javahl\tests\org\apache\subversion\javahl\RunTests.java,0,0,0,0
