"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",4,0.0396039603960396,0.195999595877539,0.0384158415841584,0,0,0,0,1,4.72135966787133,23.2912371134021,4.94850783967084e-21,0.00591720249602612
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",2,0.0198019801980198,0.140014143557141,0.0196039603960396,0,0,0,0,1,6.8934898288314,48.520202020202,8.13623044806654e-22,0.0221637586888916
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",7,0.0693069306930693,0.255242071084461,0.0651485148514852,0,0,0,0,1,3.39161311379671,12.5030395136778,4.58415965317094e-20,2.54807967210446e-05
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",13,0.128712871287129,0.416253920981741,0.173267326732673,0,0,0,0,2,3.35734935447594,13.7412982857143,3.17025415027447e-19,2.6523860885419e-10
"LOC",7989,79.0990099009901,94.2186292566916,8877.1500990099,7,23,52,88,453,2.43131976974842,9.32759528957931,4.65338439780864e-13,9.96075941850361e-05
"all",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
