Class,same,uchangedLines,deleted,added,changed,all, differenceSection
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\utils\LoadbalanceAlgorithmFactory.java,53,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\utils\WSDL11EndpointBuilder.java,198,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\utils\WSDL20EndpointBuilder.java,109,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\AddressEndpointFactory.java,291,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\AddressEndpointSerializer.java,208,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\EndpointAbstractFactory.java,85,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\EndpointAbstractSerializer.java,57,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\EndpointFactory.java,48,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\EndpointSerializer.java,39,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\FailoverEndpointFactory.java,116,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\FailoverEndpointSerializer.java,75,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\IndirectEndpointFactory.java,77,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\IndirectEndpointSerializer.java,56,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\LoadbalanceEndpointFactory.java,136,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\LoadbalanceEndpointSerializer.java,90,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\SALoadbalanceEndpointFactory.java,185,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\SALoadbalanceEndpointSerializer.java,107,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\WSDLEndpointFactory.java,336,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\WSDLEndpointSerializer.java,194,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\endpoints\XMLToEndpointMapper.java,57,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractDBMediatorFactory.java,344,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractDBMediatorSerializer.java,231,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractListMediatorFactory.java,52,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractListMediatorSerializer.java,45,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractMediatorFactory.java,92,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractMediatorSerializer.java,129,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AggregateMediatorFactory.java,138,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AggregateMediatorSerializer.java,98,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnnotatedCommandMediatorFactory.java,115,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediator.java,33,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediatorFactory.java,50,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediatorSerializer.java,52,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CacheMediatorFactory.java,187,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CacheMediatorSerializer.java,119,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CalloutMediatorFactory.java,103,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CalloutMediatorSerializer.java,78,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ClassMediatorFactory.java,107,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ClassMediatorSerializer.java,81,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CloneMediatorFactory.java,91,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CloneMediatorSerializer.java,91,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationFactory.java,55,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationFactoryAndSerializerFinder.java,253,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationSerializer.java,50,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBLookupMediatorFactory.java,73,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBLookupMediatorSerializer.java,76,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBReportMediatorFactory.java,71,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBReportMediatorSerializer.java,75,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DropMediatorFactory.java,52,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DropMediatorSerializer.java,49,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EntryFactory.java,94,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EntrySerializer.java,88,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FaultMediatorFactory.java,192,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FaultMediatorSerializer.java,119,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FilterMediatorFactory.java,116,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FilterMediatorSerializer.java,76,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\HeaderMediatorFactory.java,122,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\HeaderMediatorSerializer.java,95,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InMediatorFactory.java,53,0,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\InMediatorSerializer.java,51,0,0,0,0,0,0
