"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.47505087604405,0.0826090899945418,29.9609991613221,3.16365867618148e-197
"sloc",0.00743326182203857,0.00051835165456949,14.3401911742949,1.22716938750383e-46
"ClassDataShouldBePrivate",-0.255215338226397,0.596591739368813,-0.427788923957298,0.66880480158007
"ComplexClass",-0.0362704669522565,0.382487247963005,-0.0948279116373695,0.92445151648557
"LongParameterList",0.307616407834732,0.262539365796896,1.17169631647815,0.241319002442818
"ClassDataShouldBePrivate:ComplexClass",3.68139286168835,1.69753574159461,2.1686688365278,0.0301078349516822
"ClassDataShouldBePrivate:LongParameterList",-5.19161312181886,1.68995135579213,-3.07204885159868,0.00212594929301309
"ComplexClass:LongParameterList",-0.446246851379022,0.776871434474815,-0.574415317099021,0.56568679029266
"(Intercept)",2.48616954080395,0.0800381318972631,31.0623134482348,7.78003584543907e-212
"sloc",0.00753479361166719,0.000444982228570257,16.9327967003912,2.5783311487786e-64
"ClassDataShouldBePrivate:ComplexClass",3.15580563042517,1.61879873100154,1.94947374864365,0.0512388748243558
"ClassDataShouldBePrivate:LongParameterList",-5.16145885093099,1.61733185963231,-3.19134185120449,0.00141613615151935
"(Intercept)",2.47439533949074,0.0800427106086314,30.913437596951,7.88160440414948e-210
"sloc",0.00766276851566133,0.00044390084345776,17.2623427700031,9.03689260811169e-67
"ClassDataShouldBePrivate:LongParameterList",-2.64066783824267,1.05331926373981,-2.50699662405014,0.0121761874624372
